subLink,word,type,level
0,absentee,absentee,noun,c2
1,absenteeism,absenteeism,noun,c2
2,academic_1,academic,adjective,b1
3,academic_2,academic,noun,b2
4,academic-year,academic year,noun,c1
5,academy,academy,noun,c1
6,access-course,access course,noun,c2
7,ace_3,ace,verb,c2
8,act_3,ACT,abbreviation,c2
9,admission,admission,noun,c1
10,admit,admit,verb,c1
11,adult-education,adult education,noun,b1
12,a-level,A level,noun,c1
13,algebra,algebra,noun,c1
14,alma-mater,alma mater,noun,c2
15,alumna,alumna,noun,c2
16,alumni,alumni,noun,c2
17,alumnus,alumnus,noun,c2
18,answer_1,answer,noun,a1
19,applicant,applicant,noun,b2
20,application,application,noun,b1
21,arithmetic_1,arithmetic,noun,c1
22,art_1,art,noun,a1
23,as-level,AS (level),noun,c2
24,assembly,assembly,noun,c1
25,assess,assess,verb,b2
26,assessment,assessment,noun,b2
27,assessor,assessor,noun,c1
28,assignment,assignment,noun,b1
29,assistant_1,assistant,noun,a2
30,attend,attend,verb,a2
31,attendance,attendance,noun,c1
32,award_1,award,noun,c1
33,ba,BA,noun,c2
34,bachelor,bachelor,noun,c2
35,bell,bell,noun,b1
36,biology,biology,noun,a2
37,blackboard,blackboard,noun,b1
38,blazer,blazer,noun,c2
39,blended-learning,blended learning,noun,c1
40,board_1,board,noun,a2
41,boarder,boarder,noun,c2
42,boarding-school,boarding school,noun,b2
43,book_1,book,noun,a1
44,bsc,BSc,noun,c2
45,btec,BTEC,noun,c2
46,bunk-off,bunk off,phrasal verb,c2
47,bunk-off-school,bunk off school,phrasal verb,c2
48,bunk-off-work,bunk off work,phrasal verb,c2
49,bursary,bursary,noun,c2
50,business-school,business school,noun,b1
51,business-studies,business studies,noun,b1
52,calculator,calculator,noun,b2
53,campus,campus,noun,b1
54,candidate,candidate,noun,b1
55,canteen,canteen,noun,b1
56,caretaker_1,caretaker,noun,c1
57,catchment-area,catchment area,noun,c2
58,certificate_1,certificate,noun,b2
59,chair_1,chair,noun,c1
60,chalk_1,chalk,noun,c1
61,chalkboard,chalkboard,noun,c1
62,chancellor,chancellor,noun,c2
63,chapel,chapel,noun,c2
64,chemistry,chemistry,noun,a2
65,class_1,class,noun,a1
66,classic_2,classic,noun,c1
67,classmate,classmate,noun,a1
68,classroom,classroom,noun,a1
69,classwork,classwork,noun,b1
70,clearing,clearing,noun,c2
71,coach_1,coach,noun,a2
72,coach_2,coach,verb,b1
73,co-education,co-education,noun,c2
74,co-educational,co-educational,adjective,c2
75,college,college,noun,a1
76,collegiate,collegiate,adjective,c2
77,colloquium,colloquium,noun,c2
78,commencement,commencement,noun,c2
