word,sound
0,aardvark,aardvark__gb_1.mp3
1,adder,adder__gb_1.mp3
2,Afghan hound,afghan_hound_1_gb_1.mp3
3,alligator,alligator__gb_1.mp3
4,alpaca,alpaca__gb_1.mp3
5,Alsatian,alsatian__gb_1.mp3
6,amphibian,amphibian__gb_1.mp3
7,amphibious,amphibious__gb_1.mp3
8,anaconda,anaconda__gb_1.mp3
9,angora,angora__gb_1.mp3
10,animal,animal__gb_1.mp3
11,anteater,anteater__gb_1.mp3
12,antelope,antelope__gb_1.mp3
13,antler,antler__gb_1.mp3
14,ape,ape__gb_1.mp3
15,armadillo,armadillo__gb_1.mp3
16,asp,asp__gb_1.mp3
17,assistance dog,assistance_dog_1_gb_1.mp3
18,attack dog,attack_dog_1_gb_1.mp3
19,baa,baa__gb_1.mp3
20,baa,baa__gb_1.mp3
21,baboon,baboon__gb_1.mp3
22,badger,badger__gb_1.mp3
23,bandicoot,bandicoot__gb_2.mp3
24,bark,bark__gb_2.mp3
25,bark,bark__gb_2.mp3
26,basset,basset__gb_2.mp3
27,bat,bat__gb_4.mp3
28,beagle,beagle__gb_2.mp3
29,bear,bear__gb_2.mp3
30,beast,beast__gb_3.mp3
31,beaver,beaver__gb_1.mp3
32,behaviour,behaviour__gb_2.mp3
33,big cat,big_cat_1_gb_1.mp3
34,bilby,bilby__gb_2.mp3
35,billy goat,billy_goat_1_gb_1.mp3
36,bird dog,bird_dog_1_gb_1.mp3
37,bison,bison__gb_4.mp3
38,bitch,bitch__gb_3.mp3
39,bitzer,bitzer__gb_1.mp3
40,blackface,blackface__gb_2.mp3
41,bloodhound,bloodhound__gb_2.mp3
42,blue whale,blue_whale_1_gb_1.mp3
43,boa,boa__gb_2.mp3
44,boa constrictor,boa_constrictor_1_gb_2.mp3
45,boar,boar__gb_1.mp3
46,bobcat,bobcat__gb_2.mp3
47,Border collie,border_collie_1_gb_1.mp3
48,borzoi,borzoi__gb_3.mp3
49,boxer,boxer__gb_1.mp3
50,breed,breed__gb_1.mp3
51,breed,breed__gb_1.mp3
