word,sound
0,ace,ace__gb_1.mp3
1,achievement,achievement__gb_1.mp3
2,adventure game,adventure_game_1_gb_1.mp3
3,arcade,arcade__gb_1.mp3
4,avatar,avatar__gb_1.mp3
5,baccarat,baccarat_1_gb_1.mp3
6,backgammon,backgammon__gb_1.mp3
7,bagatelle,bagatelle__gb_2.mp3
8,ball,ball__gb_3.mp3
9,ball game,ball_game_1_gb_1.mp3
10,balloon,balloon__gb_2.mp3
11,billiards,billiards__gb_2.mp3
12,bingo,bingo__gb_3.mp3
13,bishop,bishop__gb_3.mp3
14,blackjack,blackjack__gb_2.mp3
15,blind man’s buff,blind_man_s_buff_1_gb_1.mp3
16,board,board__gb_2.mp3
17,board game,board_game_1_gb_1.mp3
18,boule,boule__gb_4.mp3
19,bowl,bowl__gb_4.mp3
20,bowling,bowling__gb_3.mp3
21,bowling green,bowling_green_1_gb_1.mp3
22,bridge,bridge__gb_3.mp3
23,building block,building_block_1_gb_1.mp3
24,camp,camp__gb_2.mp3
25,canasta,canasta__gb_2.mp3
26,card,card__gb_1.mp3
27,card game,card_game_1_gb_1.mp3
28,casino,casino__gb_2.mp3
29,castle,castle__gb_2.mp3
30,cat’s cradle,cat_s_cradle_1_gb_1.mp3
31,charade,charade__gb_1.mp3
32,cheat,cheat__gb_2.mp3
33,cheat,cheat__gb_2.mp3
34,check,check__gb_2.mp3
35,checkers,checkers__gb_3.mp3
36,chess,chess__gb_3.mp3
37,chessman,chessman__gb_2.mp3
38,Chinese chequers,chinese_chequers_1_gb_1.mp3
39,Chutes and Ladders™,chutes_and_ladders_1_gb_1.mp3
40,climbing frame,climbing_frame_1_gb_1.mp3
41,club,club__gb_1.mp3
42,computer game,computer_game_1_gb_2.mp3
43,conker,xconker__gb_1.mp3
44,console,xconsole__gb_2.mp3
45,counter,counter__gb_1.mp3
46,cribbage,cribbage__gb_1.mp3
47,croquet,croquet__gb_1.mp3
48,cross-play,cross_play_1_gb_1.mp3
49,crossword,crossword__gb_1.mp3
