subLink,word,type,level
0,aardvark,aardvark,noun,c2
1,adder,adder,noun,c2
2,afghan-hound,Afghan hound,noun,c2
3,alligator,alligator,noun,c1
4,alpaca,alpaca,noun,c2
5,alsatian,Alsatian,noun,c1
6,amphibian,amphibian,noun,c1
7,amphibious,amphibious,adjective,c2
8,anaconda,anaconda,noun,c2
9,angora,angora,noun,c2
10,animal_1,animal,noun,a1
11,anteater,anteater,noun,c2
12,antelope,antelope,noun,c1
13,antler,antler,noun,c1
14,ape_1,ape,noun,b2
15,armadillo,armadillo,noun,c2
16,asp,asp,noun,c2
17,assistance-dog,assistance dog,noun,c1
18,attack-dog,attack dog,noun,c2
19,baa_1,baa,noun,c2
20,baa_2,baa,verb,c2
21,baboon,baboon,noun,c2
22,badger_1,badger,noun,c2
23,bandicoot,bandicoot,noun,c2
24,bark_1,bark,noun,c1
25,bark_2,bark,verb,c1
26,basset,basset,noun,c2
27,bat_1,bat,noun,c1
28,beagle,beagle,noun,c2
29,bear_2,bear,noun,a2
30,beast,beast,noun,c1
31,beaver_1,beaver,noun,c2
32,behaviour,behaviour,noun,a2
33,big-cat,big cat,noun,b1
34,bilby,bilby,noun,c2
35,billy-goat,billy goat,noun,c2
36,bird-dog,bird dog,noun,c2
37,bison,bison,noun,c2
38,bitch_1,bitch,noun,c2
39,bitzer,bitzer,noun,c2
40,blackface,blackface,noun,c2
41,bloodhound,bloodhound,noun,c2
42,blue-whale,blue whale,noun,c1
43,boa,boa,noun,c2
44,boa-constrictor,boa constrictor,noun,c2
45,boar,boar,noun,c2
46,bobcat,bobcat,noun,c2
47,border-collie,Border collie,noun,c2
48,borzoi,borzoi,noun,c2
49,boxer,boxer,noun,c2
50,breed_1,breed,verb,c1
51,breed_2,breed,noun,c1
52,brood-mare,brood mare,noun,c2
53,buck_1,buck,noun,c2
54,buffalo_1,buffalo,noun,c2
55,bull,bull,noun,b1
56,bulldog,bulldog,noun,c2
57,bullfrog,bullfrog,noun,c2
58,bull-mastiff,bull mastiff,noun,c2
59,bullock,bullock,noun,c2
60,bull-terrier,bull terrier,noun,c2
61,bunny,bunny,noun,c2
62,burrow_2,burrow,noun,c2
63,bushbaby,bushbaby,noun,c2
64,bushmaster,bushmaster,noun,c2
65,cage_1,cage,noun,b2
