subLink,word,type,level
0,acne,acne,noun,c2
1,adonis,Adonis,noun,c2
2,afro_1,Afro,noun,c2
3,afro_2,Afro,adjective,c2
4,albino_2,albino,noun,c2
5,allure,allure,noun,c2
6,alluring,alluring,adjective,c2
7,angelic,angelic,adjective,c2
8,appearance,appearance,noun,a2
9,ash-blonde_2,ash blonde,adjective,c2
10,attractive,attractive,adjective,a2
11,attractiveness,attractiveness,noun,c1
12,auburn_1,auburn,adjective,c2
13,awkward,awkward,adjective,c1
14,backcomb,backcomb,verb,c2
15,bald,bald,adjective,b2
16,balding,balding,adjective,c2
17,balm,balm,noun,c2
18,bang_2,bang,noun,c2
19,barber,barber,noun,c1
20,beam_1,beam,noun,c2
21,beam_2,beam,verb,c2
22,beanpole,beanpole,noun,c2
23,beard_1,beard,noun,a2
24,beaut_1,beaut,noun,c2
25,beauteous,beauteous,adjective,c2
26,beautiful,beautiful,adjective,a1
27,beauty,beauty,noun,b2
28,beauty-salon,beauty salon,noun,c1
29,beauty-school,beauty school,noun,c2
30,beefy,beefy,adjective,c2
31,beehive,beehive,noun,c2
32,beer-belly,beer belly,noun,c2
33,belle,belle,noun,c2
34,bewitching,bewitching,adjective,c2
35,bingo-wings,bingo wings,noun,c2
36,birthmark,birthmark,noun,c2
37,blackhead,blackhead,noun,c2
38,blemish_1,blemish,noun,c2
39,blonde_1,blonde,adjective,a1
40,blotch,blotch,noun,c2
41,blow-dry_1,blow-dry,noun,c2
42,blow-dry_2,blow-dry,verb,c2
43,blush_1,blush,verb,c1
44,blush_2,blush,noun,c1
45,blusher,blusher,noun,c2
46,bob_1,bob,verb,c2
47,bob_2,bob,noun,c2
48,bobbed,bobbed,adjective,c2
49,body,body,noun,c2
50,bonny,bonny,adjective,c2
51,bony,bony,adjective,c2
52,bottle-blonde_1,bottle blonde,adjective,c2
53,bouffant,bouffant,adjective,c2
54,bounce_2,bounce,noun,c2
55,boyish,boyish,adjective,c2
56,braid_1,braid,noun,c2
57,braid_2,braid,verb,c2
58,brawny,brawny,adjective,c2
59,brilliantine,brilliantine,noun,c2
60,bristle_1,bristle,noun,c2
61,bronzed,bronzed,adjective,c2
62,brow,brow,noun,c2
63,brunette,brunette,noun,c2
64,brush_1,brush,verb,a2
65,bubble-bath,bubble bath,noun,c2
66,buff_2,buff,adjective,c2
67,bumfluff,bumfluff,noun,c2
68,bun,bun,noun,c2
69,bunch_1,bunch,noun,c2
70,bushy,bushy,adjective,c2
71,buxom,buxom,adjective,c2
72,buzz-cut,buzz cut,noun,c2
73,cadaverous,cadaverous,adjective,c2
74,callus,callus,noun,c2
75,carroty,carroty,adjective,c2
76,chignon,chignon,noun,c2
77,chubbiness,chubbiness,noun,c2
78,chubby,chubby,adjective,c2
79,cleanser,cleanser,noun,c2
80,clean-shaven,clean-shaven,adjective,c2
81,close-cropped,close-cropped,adjective,c2
82,clumsy,clumsy,adjective,c1
83,coiffure,coiffure,noun,c2
84,cold-cream,cold cream,noun,c2
85,colorant,colorant,noun,c2
86,coloring,coloring,noun,c1
87,colourant,colourant,noun,c2
88,colouring,colouring,noun,c1
89,comb_1,comb,noun,b2
90,comb_2,comb,verb,b2
91,comb-out,comb out,phrasal verb,c2
92,comely,comely,adjective,c2
93,complexion,complexion,noun,c2
94,concealer,concealer,noun,c2
95,condition_2,condition,verb,c2
96,conditioner,conditioner,noun,c2
97,cornrows,cornrows,noun,c2
98,corpulence,corpulence,noun,c2
99,corpulent,corpulent,adjective,c2
100,cotton-bud,cotton bud,noun,c2
101,cotton-wool,cotton wool,noun,c2
102,countenance_1,countenance,noun,c2
103,cowlick,cowlick,noun,c2
104,crew-cut_1,crew cut,noun,c2
105,crew-cut_2,crew-cut,adjective,c2
106,crimp_1,crimp,verb,c2
107,crinkly,crinkly,adjective,c2
108,crop_1,crop,noun,c2
109,crop_2,crop,verb,c2
110,crow-s-feet,crow’s feet,noun,c2
111,curl_1,curl,verb,c1
112,curl_2,curl,noun,c1
113,curler,curler,noun,c2
114,curling-tongs,curling tongs,noun,c2
115,curly,curly,adjective,a2
116,cut_2,cut,noun,b1
117,cute,cute,adjective,b2
118,cutie,cutie,noun,c2
119,dainty,dainty,adjective,c2
120,dandruff,dandruff,noun,c2
121,dark_1,dark,adjective,a1
122,dashing,dashing,adjective,c2
123,debonair,debonair,adjective,c2
124,deft,deft,adjective,c2
125,delouse,delouse,verb,c2
126,dental-floss,dental floss,noun,c2
127,depilator,depilator,noun,c2
128,depilatory_1,depilatory,noun,c2
129,depilatory_2,depilatory,adjective,c2
130,dimple_1,dimple,noun,c2
131,dowdy,dowdy,adjective,c2
132,down_5,down,noun,c2
133,downcast,downcast,adjective,c2
134,downy,downy,adjective,c2
135,dreadlocks,dreadlocks,noun,c2
136,dreamboat,dreamboat,noun,c2
137,dreamy,dreamy,adjective,c2
138,dye_1,dye,verb,b2
139,dye_2,dye,noun,b2
140,ectomorph,ectomorph,noun,c2
141,electric-razor,electric razor,noun,b2
142,endomorph,endomorph,noun,c2
143,english-rose,English rose,noun,c2
144,erect_2,erect,adjective,c2
145,expression,expression,noun,b1
146,eyebrow,eyebrow,noun,b2
147,eyebrow-pencil,eyebrow pencil,noun,c2
148,eyelash,eyelash,noun,c1
149,eyeliner,eyeliner,noun,c2
150,eyeshadow,eyeshadow,noun,c2
151,face-cream,face cream,noun,c1
152,face-mask,face mask,noun,c2
153,face-powder,face powder,noun,c1
154,fair_1,fair,adjective,b1
155,fair-haired,fair-haired,adjective,b1
156,fairness,fairness,noun,c1
157,fanciable,fanciable,adjective,c2
158,fat_1,fat,adjective,a1
159,figure_1,figure,noun,b1
160,fit_2,fit,adjective,c2
161,fix_1,fix,verb,c2
162,flabby,flabby,adjective,c2
163,flat-top,flat-top,noun,c2
164,flaxen,flaxen,adjective,c2
165,flyaway,flyaway,adjective,c2
166,foundation,foundation,noun,c2
167,freckle,freckle,noun,c2
168,freckled,freckled,adjective,c2
169,french-braid,French braid,noun,c2
170,french-plait,French plait,noun,c2
171,french-pleat,French pleat,noun,c2
172,french-twist,French twist,noun,c2
173,fringe_1,fringe,noun,c2
174,frizz_1,frizz,verb,c2
175,frizz_2,frizz,noun,c2
176,frizzy,frizzy,adjective,c2
177,frown_1,frown,verb,c1
178,frown_2,frown,noun,c1
179,fuzz,fuzz,noun,c2
180,fuzzy,fuzzy,adjective,c2
181,gamine_2,gamine,adjective,c2
182,gangling,gangling,adjective,c2
183,gaunt,gaunt,adjective,c2
184,gel_1,gel,noun,b2
185,gel_2,gel,verb,c2
186,ginger_2,ginger,adjective,b2
187,girn,girn,verb,c2
188,glamorous,glamorous,adjective,b2
189,glazed,glazed,adjective,c2
190,glossy_1,glossy,adjective,c2
191,glower_2,glower,verb,c2
192,goatee,goatee,noun,c2
193,good-looking,good-looking,adjective,a2
194,gorgeous,gorgeous,adjective,b2
195,grace_1,grace,noun,c1
196,graceful,graceful,adjective,c1
197,graceless,graceless,adjective,c2
198,gray_1,gray,adjective,a1
199,greasy,greasy,adjective,c1
200,grey_1,grey,adjective,a1
201,grey-haired,grey-haired,adjective,b1
202,grimace_1,grimace,verb,c2
203,grimace_2,grimace,noun,c2
204,grin_1,grin,verb,c1
205,grin_2,grin,noun,c1
206,grizzled,grizzled,adjective,c2
207,grooming,grooming,noun,c2
208,grotesque_1,grotesque,adjective,c2
209,grow-back,grow back,phrasal verb,c2
210,grow-out,grow out,phrasal verb,c2
211,gurn,gurn,verb,c2
212,hair_1,hair,noun,a1
213,hairbrush,hairbrush,noun,a2
214,haircut,haircut,noun,b1
215,hairdo,hairdo,noun,c2
216,hairdresser,hairdresser,noun,a2
217,hairdryer,hairdryer,noun,b1
218,hair-extension,hair extension,noun,c2
219,hairless,hairless,adjective,c2
220,hairline,hairline,noun,c2
221,hairpiece,hairpiece,noun,c2
222,hairspray,hairspray,noun,c2
223,hairstyle,hairstyle,noun,b1
224,hairstylist,hairstylist,noun,c2
225,hairy,hairy,adjective,b2
226,hand-cream,hand cream,noun,b2
227,handsome,handsome,adjective,a2
228,hangdog,hangdog,adjective,c2
229,heart-throb,heart-throb,noun,c2
230,heavy_1,heavy,adjective,a2
231,height,height,noun,a2
232,henna,henna,noun,c2
233,hideous,hideous,adjective,c1
234,highlight_1,highlight,verb,c1
235,highlight_2,highlight,noun,c1
236,hirsute,hirsute,adjective,c2
237,hoary,hoary,adjective,c2
238,homely,homely,adjective,c2
