subLink,word,type,level
0,abbreviation,abbreviation,noun,b1
1,ablative_1,ablative,adjective,c2
2,ablative_2,ablative,noun,c2
3,abstract-noun,abstract noun,noun,b2
4,accent_1,accent,noun,b2
5,accusative_1,accusative,adjective,c2
6,accusative_2,accusative,noun,c2
7,active_1,active,adjective,b1
8,active_2,active,noun,b1
9,acute-accent,acute accent,noun,c2
10,adjectival,adjectival,adjective,c2
11,adjective,adjective,noun,a1
12,advanced,advanced,adjective,b1
13,adverb,adverb,noun,a1
14,adverbial_1,adverbial,adjective,b1
15,affirmative_1,affirmative,adjective,c1
16,affix_2,affix,noun,c1
17,afrikaans,Afrikaans,noun,c2
18,agree,agree,verb,b2
19,agreement,agreement,noun,b2
20,alliteration,alliteration,noun,c2
21,allophone_2,allophone,noun,c2
22,allusion,allusion,noun,c2
23,alphabet,alphabet,noun,a1
24,ampersand,ampersand,noun,c2
25,analogy,analogy,noun,c1
26,anaphor,anaphor,noun,c2
27,anaphora,anaphora,noun,c2
28,anglicism,Anglicism,noun,c2
29,anglo-saxon_1,Anglo-Saxon,noun,c1
30,anthropomorphic,anthropomorphic,adjective,c2
31,anthropomorphism,anthropomorphism,noun,c2
32,antithesis,antithesis,noun,c2
33,apostrophe,apostrophe,noun,b1
34,apposition,apposition,noun,c2
35,appositional_1,appositional,adjective,c2
36,appositional_2,appositional,noun,c2
37,arabic_1,Arabic,noun,a2
38,aramaic,Aramaic,noun,c2
39,archaism,archaism,noun,c2
40,argument,argument,noun,b1
41,article,article,noun,b1
42,articulate_1,articulate,verb,c1
43,articulate_2,articulate,adjective,c1
44,aspirate_1,aspirate,noun,c2
45,aspirate_2,aspirate,verb,c2
46,assonance,assonance,noun,c2
47,asterisk_2,asterisk,noun,c2
48,attributive,attributive,adjective,c2
49,aural,aural,adjective,c2
50,auxiliary_2,auxiliary,noun,b1
51,backslash,backslash,noun,c2
52,bahasa-indonesia,Bahasa Indonesia,noun,c2
53,bahasa-malaysia,Bahasa Malaysia,noun,c2
54,bangla,Bangla,noun,c2
55,basque_2,Basque,noun,c2
56,beginner,beginner,noun,b1
57,bengali_1,Bengali,noun,c1
58,bilabial_2,bilabial,noun,c2
59,binomial_2,binomial,noun,c2
60,brace_1,brace,noun,c2
61,bracket_1,bracket,noun,c1
62,breton_1,Breton,noun,c2
63,broad_1,broad,adjective,c2
64,brush-up,brush up,phrasal verb,c2
65,brush-up-on,brush up on,phrasal verb,c2
66,bullet-point,bullet point,noun,b2
67,cacophony,cacophony,noun,c2
68,calque,calque,noun,c2
69,cantonese_1,Cantonese,noun,c2
70,cardinal_1,cardinal,noun,c2
71,carib,Carib,noun,c2
72,catalan_1,Catalan,noun,c2
73,cataphor,cataphor,noun,c2
74,cataphora,cataphora,noun,c2
75,cedilla,cedilla,noun,c2
76,character,character,noun,c1
77,chiasmus,chiasmus,noun,c2
78,chinese_2,Chinese,noun,a2
79,circumflex,circumflex,noun,c2
80,circumlocution,circumlocution,noun,c2
81,clause,clause,noun,b1
82,closed-syllable,closed syllable,noun,c2
83,cluster_1,cluster,noun,c1
84,code-word,code word,noun,c1
85,coherent,coherent,adjective,c1
86,coinage,coinage,noun,c2
87,collocation,collocation,noun,a2
88,colloquialism,colloquialism,noun,c2
89,colon,colon,noun,c1
90,comma,comma,noun,a2
91,common-noun,common noun,noun,b2
92,communication,communication,noun,b1
93,comparative_1,comparative,adjective,a2
94,comparative_2,comparative,noun,a2
95,complement_2,complement,noun,b2
96,compound_1,compound,noun,b2
97,compound_2,compound,adjective,b2
98,conditional_1,conditional,adjective,a2
99,conditional_2,conditional,noun,a2
100,conjugate,conjugate,verb,c2
101,conjunction,conjunction,noun,b1
102,consonant_1,consonant,noun,a2
103,continuant_1,continuant,adjective,c2
104,continuant_2,continuant,noun,c2
105,continuous,continuous,adjective,b1
106,contraction,contraction,noun,b1
107,cornish_1,Cornish,noun,c2
108,countable,countable,adjective,a1
109,count-noun,count noun,noun,a1
110,creole,Creole,noun,c2
111,danish_2,Danish,noun,b2
112,dash_1,dash,noun,b2
113,dative_1,dative,noun,c2
114,dative_2,dative,adjective,c2
115,declension,declension,noun,c2
116,decline_1,decline,verb,c2
117,defining,defining,adjective,b1
118,definite-article,definite article,noun,b1
119,deontic,deontic,adjective,c2
120,dependent-clause,dependent clause,noun,b2
121,derivative_1,derivative,noun,c2
122,descriptor,descriptor,noun,c2
123,determiner,determiner,noun,b1
124,dharuk,Dharuk,noun,c2
125,diaeresis,diaeresis,noun,c2
126,dialect,dialect,noun,c1
127,diphthong,diphthong,noun,c1
128,direct-object,direct object,noun,b1
129,direct-speech,direct speech,noun,b1
130,ditto_1,ditto,noun,c2
131,dot_1,dot,noun,b2
132,double-negative,double negative,noun,b2
133,drill_1,drill,noun,c2
134,drill_2,drill,verb,c2
135,elide,elide,verb,c2
136,elision,elision,noun,c2
137,ellipsis,ellipsis,noun,c1
138,elliptical,elliptical,adjective,c2
139,encode,encode,verb,c2
140,ending,ending,noun,a2
141,english_1,English,noun,a1
142,enjambement,enjambement,noun,c2
143,epithet,epithet,noun,c2
144,erse,Erse,noun,c2
145,etruscan_2,Etruscan,noun,c2
146,etymological,etymological,adjective,c2
147,etymology,etymology,noun,c2
148,euphemism,euphemism,noun,c1
149,exclamation,exclamation,noun,b1
150,exclamation-mark,exclamation mark,noun,b1
151,expression,expression,noun,a2
152,fable,fable,noun,c1
153,faultless,faultless,adjective,c2
154,feminine_1,feminine,adjective,c1
155,feminine_2,feminine,noun,c1
156,filipino_1,Filipino,noun,c2
157,flemish_1,Flemish,noun,c2
158,fluency,fluency,noun,b2
159,fluent,fluent,adjective,b1
160,form_1,form,noun,a1
161,form_2,form,verb,a1
162,free-form_1,free form,noun,c2
163,french_2,French,noun,a1
164,fricative_1,fricative,noun,c2
165,future_1,future,noun,a1
166,gabble_1,gabble,verb,c2
167,gaelic_2,Gaelic,noun,c2
168,gaulish,Gaulish,noun,c2
169,gender,gender,noun,c1
170,gender-neutral,gender-neutral,adjective,c1
171,generative-grammar,generative grammar,noun,c2
172,genitive_1,genitive,noun,c2
173,genitive_2,genitive,adjective,c2
174,german_2,German,noun,a1
175,gerund,gerund,noun,b1
176,glide_2,glide,noun,c2
177,glottal_2,glottal,noun,c2
178,glottal-stop,glottal stop,noun,c2
179,grammar,grammar,noun,a1
180,grammatical,grammatical,adjective,b1
181,grave2,grave,noun,c2
182,greek_1,Greek,noun,a2
183,gujarati_1,Gujarati,noun,c2
184,gullah,Gullah,noun,c2
185,hard_1,hard,adjective,c1
186,hausa,Hausa,noun,c2
187,hebrew_1,Hebrew,noun,c2
