subLink,word,type,level
0,abstract_1,abstract,adjective,b2
1,abstract_2,abstract,noun,c2
2,academicism,academicism,noun,c2
3,afrofuturism,Afrofuturism,noun,c2
4,afrofuturist_1,Afrofuturist,noun,c2
5,afrofuturist_2,Afrofuturist,adjective,c2
6,altarpiece,altarpiece,noun,c2
7,art_1,art,noun,a1
8,art-gallery,art gallery,noun,a2
9,artist,artist,noun,a1
10,artistic,artistic,adjective,b2
11,artwork,artwork,noun,b2
12,atelier,atelier,noun,c2
13,auction_1,auction,noun,b2
14,auctioneer,auctioneer,noun,c2
15,auction-house,auction house,noun,c1
16,auction-room,auction room,noun,c1
17,background,background,noun,a2
18,baroque_2,baroque,adjective,c2
19,bas-relief,bas-relief,noun,c2
20,batik,batik,noun,c2
21,bid1_1,bid,noun,b2
22,bid1_2,bid,verb,b2
23,brass-rubbing,brass rubbing,noun,c2
24,bricolage,bricolage,noun,c2
25,bronze_1,bronze,noun,c1
26,brush_2,brush,noun,a2
27,brushwork,brushwork,noun,c2
28,burnt-ochre,burnt ochre,noun,c2
29,burnt-sienna,burnt sienna,noun,c2
30,burnt-umber,burnt umber,noun,c2
31,bust_2,bust,noun,c2
32,calligraphy,calligraphy,noun,c2
33,canvas,canvas,noun,c1
34,capture_1,capture,verb,b2
35,cartoon,cartoon,noun,c2
36,carve,carve,verb,c1
37,carving,carving,noun,c1
38,cave-painting,cave painting,noun,b1
39,ceramic_1,ceramic,noun,c1
40,charcoal,charcoal,noun,c2
41,cityscape,cityscape,noun,c2
42,classical,classical,adjective,c1
43,classicism,classicism,noun,c2
44,clay,clay,noun,b2
45,collage,collage,noun,c2
46,collect_2,collect,verb,a2
47,collection,collection,noun,b1
48,collector,collector,noun,b2
49,composition,composition,noun,c2
50,connoisseur,connoisseur,noun,c2
51,conservator,conservator,noun,c2
52,contrast_1,contrast,noun,c1
53,crayon_1,crayon,verb,c2
54,crayon_2,crayon,noun,c2
55,curator,curator,noun,c1
56,dada_2,Dada,noun,c2
57,dadaism,Dadaism,noun,c2
58,daub_1,daub,verb,c2
59,decorate,decorate,verb,b1
60,decorative,decorative,adjective,c1
61,depict,depict,verb,c1
62,depth,depth,noun,c1
63,design_1,design,noun,a1
64,detail_1,detail,noun,a2
65,diptych,diptych,noun,c2
66,draw_1,draw,verb,a1
67,drawing,drawing,noun,a2
68,easel,easel,noun,c2
69,embroidery,embroidery,noun,c2
70,engraver,engraver,noun,c2
71,engraving,engraving,noun,c2
72,environmental-art,environmental art,noun,c2
73,eroticism,eroticism,noun,c2
74,etch,etch,verb,c2
75,etching,etching,noun,c2
76,execute,execute,verb,c2
77,exhibit_1,exhibit,verb,b2
78,exhibit_2,exhibit,noun,b2
79,exhibition,exhibition,noun,b1
80,expressionism,expressionism,noun,c2
81,expressionist_2,expressionist,noun,c2
82,fake_2,fake,noun,b1
83,fauvism,Fauvism,noun,c2
84,figurative,figurative,adjective,c2
85,figure_1,figure,noun,b2
86,finger-painting,finger-painting,noun,b2
87,finish_2,finish,noun,c1
88,fire_2,fire,verb,c2
89,foreground_1,foreground,noun,b2
90,formalism,formalism,noun,c2
91,formalist_1,formalist,adjective,c2
92,frame_1,frame,noun,b1
93,frame_2,frame,verb,b1
94,fresco,fresco,noun,c2
95,frieze,frieze,noun,c2
96,futurism,Futurism,noun,c2
97,futurist_2,Futurist,adjective,c2
98,gallery,gallery,noun,a2
99,genre-painting,genre painting,noun,c2
100,gild,gild,verb,c2
101,glass-blowing,glass-blowing,noun,c2
102,gothic_1,Gothic,adjective,c2
103,gouache,gouache,noun,c2
104,graffiti,graffiti,noun,b1
105,graphic-artist,graphic artist,noun,b2
106,graphics,graphics,noun,b2
107,harmony,harmony,noun,c1
108,haut-relief,haut-relief,noun,c2
109,highbrow,highbrow,adjective,c2
110,hologram,hologram,noun,c2
111,icon,icon,noun,c2
112,ikon,ikon,noun,c2
113,illustration,illustration,noun,b2
114,impasto,impasto,noun,c2
115,impressionism,Impressionism,noun,c1
116,impressionist_2,Impressionist,adjective,c1
117,ink_1,ink,noun,b2
118,ink_2,ink,verb,c2
119,inspiration,inspiration,noun,c1
120,inspire,inspire,verb,b2
121,installation,installation,noun,c2
122,intaglio,intaglio,noun,c2
123,kiln,kiln,noun,c2
124,kinetic-art,kinetic art,noun,c2
125,kitsch_1,kitsch,noun,c2
126,landscape_1,landscape,noun,c1
127,life-drawing,life drawing,noun,c2
128,likeness,likeness,noun,c2
129,line-drawing,line drawing,noun,c1
130,lowbrow,lowbrow,adjective,c2
131,magnum-opus,magnum opus,noun,c2
132,mannerism,mannerism,noun,c2
133,master_1,master,noun,c1
134,masterpiece_1,masterpiece,noun,b2
135,masterwork,masterwork,noun,c2
136,medium_2,medium,noun,c2
137,minimalism,minimalism,noun,c2
138,minimalist_1,minimalist,adjective,c2
139,minimalist_2,minimalist,noun,c2
140,mixed-media,mixed media,noun,c2
141,model_2,model,verb,c1
142,modernism,modernism,noun,c1
143,monochrome_1,monochrome,adjective,c2
144,mould_2,mould,verb,c1
145,mural_1,mural,adjective,c2
146,mural_2,mural,noun,c1
147,muse_1,muse,noun,c2
148,naturalism,naturalism,noun,c2
149,needlecraft,needlecraft,noun,c2
150,neoclassical,neoclassical,adjective,c2
151,neoclassicism,neoclassicism,noun,c2
152,nude_2,nude,noun,c2
153,oil_1,oil,noun,c1
154,oil-colour,oil colour,noun,c2
155,oil-paint,oil paint,noun,b2
156,oil-painting,oil painting,noun,c1
157,old-master,old master,noun,c2
158,origami,origami,noun,c2
159,paint_1,paint,noun,a2
160,paint_2,paint,verb,a1
161,paintbrush,paintbrush,noun,a2
162,painter,painter,noun,a2
163,painting,painting,noun,a1
164,palette,palette,noun,c1
165,pastel,pastel,noun,c2
166,patron,patron,noun,c1
167,pavement-artist,pavement artist,noun,b2
168,performance-art,performance art,noun,c1
169,perspective,perspective,noun,c2
170,photomontage,photomontage,noun,c2
171,photorealism,photorealism,noun,c2
172,pigment,pigment,noun,c2
173,pointillism,pointillism,noun,c2
174,pointillist_1,pointillist,noun,c2
175,pop-art,pop art,noun,c2
176,portrait,portrait,noun,b1
177,portraiture,portraiture,noun,c2
178,pose_1,pose,verb,c1
179,pose_2,pose,noun,c1
180,post-impressionism,post-Impressionism,noun,c2
181,post-impressionist_1,post-Impressionist,adjective,c2
182,post-impressionist_2,post-Impressionist,noun,c2
183,postmodernism,postmodernism,noun,c2
184,postmodernist_2,postmodernist,noun,c2
185,pottery,pottery,noun,c1
186,primitivism,primitivism,noun,c2
187,print_2,print,noun,c1
188,printing,printing,noun,b1
189,printmaker,printmaker,noun,c2
190,printmaking,printmaking,noun,c2
191,private-view,private view,noun,c2
