subLink,word,type,level
0,abstain,abstain,verb,c2
1,abstemious,abstemious,adjective,c2
2,abstinence,abstinence,noun,c2
3,afternoon-tea,afternoon tea,noun,b2
4,al-dente_1,al dente,adverb,c2
5,all-you-can-eat,all-you-can-eat,adjective,c1
6,anorexia,anorexia,noun,c2
7,anorexic_1,anorexic,noun,c2
8,anorexic_2,anorexic,adjective,c2
9,antioxidant,antioxidant,noun,c2
10,antipasto,antipasto,noun,c2
11,appetite,appetite,noun,c1
12,appetizer,appetizer,noun,c1
13,appetizing,appetizing,adjective,c1
14,bake_1,bake,verb,b1
15,baking_1,baking,noun,b1
16,baking-powder,baking powder,noun,c2
17,baking-sheet,baking sheet,noun,c2
18,balanced,balanced,adjective,b2
19,balloon-whisk,balloon whisk,noun,c2
20,banquet,banquet,noun,c1
21,barbecue_1,barbecue,noun,b1
22,barbecue_2,barbecue,verb,b1
23,barbie,barbie,noun,c2
24,baste,baste,verb,c2
25,batter_2,batter,noun,c1
26,beat_1,beat,verb,b2
27,starve,be starving (for something),idiom,c2
28,bill_1,bill,noun,a1
29,bill-of-fare,bill of fare,noun,c2
30,binge_1,binge,noun,c2
31,binge_2,binge,verb,c2
32,bistro,bistro,noun,c1
33,bitter_1,bitter,adjective,b2
34,bland,bland,adjective,c1
35,blend_1,blend,verb,c1
36,blender,blender,noun,c1
37,blowout,blowout,noun,c2
38,boil_1,boil,verb,a2
39,boil-over,boil over,phrasal verb,c2
40,book_2,book,verb,a2
41,booth,booth,noun,c2
42,bottle_1,bottle,noun,a1
43,bouillon-cube,bouillon cube,noun,c2
44,bowl_1,bowl,noun,a2
45,braise,braise,verb,c2
46,brasserie,brasserie,noun,c2
47,breakfast_1,breakfast,noun,a1
48,broil,broil,verb,c2
49,broiler,broiler,noun,c2
50,brunch,brunch,noun,c1
51,buffet1,buffet,noun,c1
52,bulimia,bulimia,noun,c2
53,burner,burner,noun,c2
54,busboy,busboy,noun,c2
55,butter-knife,butter knife,noun,b1
56,cafe,cafe,noun,a1
57,cafeteria,cafeteria,noun,b1
58,calorie,calorie,noun,b1
59,calorific,calorific,adjective,c2
60,carb,carb,noun,b2
61,carbohydrate,carbohydrate,noun,b2
62,carry-out_2,carry-out,noun,b2
63,carve,carve,verb,c1
64,carvery,carvery,noun,c2
65,carving-knife,carving knife,noun,c1
66,chargrill,chargrill,verb,c2
67,check_2,check,noun,a2
68,cheesy,cheesy,adjective,b2
69,chef,chef,noun,a2
70,chewy,chewy,adjective,c1
71,cholesterol,cholesterol,noun,c1
72,chop_1,chop,verb,b2
73,chopping-board,chopping board,noun,c1
74,chopstick,chopstick,noun,b2
75,christmas,Christmas,noun,a1
76,chunky,chunky,adjective,c1
77,clean-eating,clean eating,noun,c2
78,cling-film,cling film,noun,c2
79,cocktail-stick,cocktail stick,noun,c2
80,colander,colander,noun,c2
81,comfort-food,comfort food,noun,c1
82,commis,commis,noun,c2
83,convection-oven,convection oven,noun,c2
84,convenience-food,convenience food,noun,c1
85,cook_1,cook,verb,a1
86,cook_2,cook,noun,a2
87,cookbook,cookbook,noun,b1
88,cooker,cooker,noun,a2
89,cookery,cookery,noun,b1
90,cookery-book,cookery book,noun,b1
91,cooking_1,cooking,noun,a1
92,cookware,cookware,noun,c2
93,corkage,corkage,noun,c2
94,corkscrew_1,corkscrew,noun,c1
95,counter_1,counter,noun,b2
96,countertop,countertop,noun,b2
97,course_1,course,noun,b1
98,cream-tea,cream tea,noun,c2
99,creamy,creamy,adjective,c1
100,crisp_1,crisp,adjective,c1
101,crispy,crispy,adjective,c1
102,crockery,crockery,noun,c2
103,crunchy,crunchy,adjective,c1
104,crusty_1,crusty,adjective,c2
105,cuisine,cuisine,noun,b2
106,culinary,culinary,adjective,c2
107,cutlery,cutlery,noun,c1
108,deep-fry,deep-fry,verb,c1
109,defrost,defrost,verb,c1
110,delicious,delicious,adjective,a1
111,dessert,dessert,noun,a2
112,dessertspoon,dessertspoon,noun,c2
113,dice_2,dice,verb,c2
114,diet_1,diet,noun,a1
115,diet_2,diet,verb,b1
116,dietary,dietary,adjective,b2
117,dieter,dieter,noun,b1
118,dietician,dietician,noun,c2
119,digest_1,digest,verb,c1
120,digestion,digestion,noun,c1
121,dine,dine,verb,c2
122,dine-out,dine out,phrasal verb,c2
123,diner,diner,noun,c1
124,dining-table,dining table,noun,c1
125,dinner,dinner,noun,a1
126,dinner-theater,dinner theater,noun,c2
127,dish_1,dish,noun,a1
128,dishwasher,dishwasher,noun,a2
129,doggy-bag,doggy bag,noun,c2
130,doily,doily,noun,c2
131,dressed,dressed,adjective,c2
132,drive-through,drive-through,noun,c1
133,dry_1,dry,adjective,a2
134,eat,eat,verb,a1
135,eatery,eatery,noun,c2
136,eat-in_2,eat-in,adjective,b2
