subLink,word,type,level
0,abide-by,abide by,phrasal verb,c2
1,abrogate,abrogate,verb,c2
2,abrogation,abrogation,noun,c2
3,accede,accede,verb,c2
4,accept,accept,verb,b1
5,acceptable,acceptable,adjective,b2
6,acceptably,acceptably,adverb,b2
7,acceptance,acceptance,noun,c1
8,accommodate,accommodate,verb,c1
9,accommodation,accommodation,noun,c2
10,accord_1,accord,noun,c2
11,acquiesce,acquiesce,verb,c2
12,acquiescence,acquiescence,noun,c2
13,acquiescent,acquiescent,adjective,c2
14,done_1,a done deal,idiom,c2
15,agree,agree,verb,a2
16,agreed,agreed,adjective,b2
17,agreement,agreement,noun,b1
18,agree,agree to differ/disagree,idiom,c2
19,alliance,alliance,noun,c1
20,allow,allow,verb,c2
21,all-right_1,all right,exclamation,a2
22,ally_3,ally,verb,c2
23,alright_1,alright,exclamation,a2
24,appeal_1,appeal,noun,c1
25,appeal_2,appeal,verb,c1
26,arbitrate,arbitrate,verb,c2
27,arbitration,arbitration,noun,c2
28,arbitrator,arbitrator,noun,c2
29,argue,argue,verb,b1
30,argue-into-doing,argue into doing,phrasal verb,c1
31,argue-out-of-doing,argue out of doing,phrasal verb,c1
32,arm-twisting,arm-twisting,noun,c2
33,arrangement,arrangement,noun,b2
34,one_1,as one,idiom,c2
35,man_1,as one man,idiom,c2
36,bargain_1,bargain,noun,b2
37,bargain_2,bargain,verb,c1
38,bargaining,bargaining,noun,c1
39,bargaining-chip,bargaining chip,noun,c2
40,bargaining-power,bargaining power,noun,c1
41,party_1,be (a) party to something,idiom,c2
42,beat-down,beat down,phrasal verb,c2
43,one_1,(be) at one (with somebody/something),idiom,c2
44,bend-to,bend to,phrasal verb,c2
45,with,be with somebody (on something),idiom,c2
46,blag,blag,verb,c2
47,blandishments,blandishments,noun,c2
48,bow-to,bow to,phrasal verb,c2
49,breach_1,breach,noun,c1
50,breach_2,breach,verb,c1
51,bribe_1,bribe,noun,c1
52,bribe_2,bribe,verb,c1
53,bring-a-and-b-together,bring A and B together,phrasal verb,c1
54,bring-round,bring round,phrasal verb,c2
55,buy-in_2,buy-in,noun,c2
56,call_1,call it quits,idiom,c2
57,cancel,cancel,verb,b2
58,capitulate,capitulate,verb,c2
59,capitulation,capitulation,noun,c2
60,carrot,carrot,noun,c2
61,cement_2,cement,verb,c2
62,coax_1,coax,verb,c2
63,coaxing_1,coaxing,adjective,c2
64,coaxing_2,coaxing,noun,c2
65,collaborate,collaborate,verb,c1
66,collaboration,collaboration,noun,c1
67,collaborative,collaborative,adjective,c1
68,collective_1,collective,adjective,c1
69,collude,collude,verb,c2
70,collusion,collusion,noun,c2
71,collusive,collusive,adjective,c2
72,heel_1,come to heel,idiom,c2
73,terms,come to terms (with somebody),idiom,c2
74,commit,commit,verb,b1
75,commitment,commitment,noun,b2
76,common-ground,common ground,noun,c2
77,compact_2,compact,noun,c2
78,complaisance,complaisance,noun,c2
79,complaisant,complaisant,adjective,c2
80,compliance,compliance,noun,c1
81,compliant,compliant,adjective,c2
82,compromise_1,compromise,noun,c1
83,compromise_2,compromise,verb,c1
84,concede,concede,verb,c1
85,concession,concession,noun,c1
86,conclude,conclude,verb,c2
87,concord_1,concord,noun,c2
88,concordant,concordant,adjective,c2
89,concordat,concordat,noun,c2
90,condition_1,condition,noun,b1
91,confirm,confirm,verb,b2
92,consensual,consensual,adjective,c2
93,consensus,consensus,noun,c1
94,consent_1,consent,noun,c1
95,consent_2,consent,verb,c1
96,contract_1,contract,noun,b2
97,contract_2,contract,verb,c2
98,contract-in,contract in,phrasal verb,c2
99,contract-out,contract out,phrasal verb,c2
100,contractual,contractual,adjective,c2
101,contractually,contractually,adverb,c2
102,convention,convention,noun,c1
103,convince,convince,verb,b1
104,cooling-off-period,cooling-off period,noun,c2
105,cooperate,cooperate,verb,c1
106,cooperation,cooperation,noun,c1
107,cooperative_1,cooperative,adjective,c1
108,coordinate_1,coordinate,verb,c1
109,coordination,coordination,noun,c1
110,countenance_2,countenance,verb,c2
111,covenant_1,covenant,noun,c2
112,covenant_2,covenant,verb,c2
113,dangle,dangle,verb,c2
114,deal_2,deal,noun,b1
115,defer-to,defer to,phrasal verb,c2
116,dialogue,dialogue,noun,b2
117,discuss,discuss,verb,a1
118,discussion,discussion,noun,a2
119,dishonour_2,dishonour,verb,c2
120,dissolution,dissolution,noun,c2
121,dissolve,dissolve,verb,c2
122,dissuade,dissuade,verb,c2
123,hard_1,drive/strike a hard bargain,idiom,c2
124,encourage,encourage,verb,b1
125,entice,entice,verb,c2
126,exhort,exhort,verb,c2
127,exhortation,exhortation,noun,c2
128,expire,expire,verb,c1
129,expiry,expiry,noun,c2
130,fence-mending,fence-mending,noun,c2
131,gentleman-s-agreement,gentleman’s agreement,noun,c2
132,get,get,verb,b2
133,get-around,get around,phrasal verb,c2
134,get-out-of,get out of,phrasal verb,c2
135,get-round,get round,phrasal verb,c2
136,give_1,give,verb,c2
137,give-in,give in,phrasal verb,b2
138,way_1,give way (to somebody/something),idiom,c2
139,go-along-with,go along with,phrasal verb,c1
140,go-with,go with,phrasal verb,c2
141,hammer-out,hammer out,phrasal verb,c2
142,handshake,handshake,noun,b2
143,harangue_1,harangue,verb,c2
144,harangue_2,harangue,noun,c2
145,hash-out,hash out,phrasal verb,c2
146,hold-out-for,hold out for,phrasal verb,c2
147,hold-with,hold with,phrasal verb,c2
148,honest-broker,honest broker,noun,c2
149,honor_2,honor,verb,c2
150,honor-system,honor system,noun,c2
151,honour_2,honour,verb,c2
152,horse-trading,horse-trading,noun,c2
153,humour_2,humour,verb,c2
154,induce,induce,verb,c1
155,inducement,inducement,noun,c1
156,sync_1,in sync,idiom,c2
157,intercede,intercede,verb,c2
158,intercession,intercession,noun,c2
159,interest-in,interest in,phrasal verb,c1
160,intermediary_1,intermediary,noun,c2
161,intermediary_2,intermediary,adjective,c2
162,intervene,intervene,verb,c1
163,intervention,intervention,noun,c1
164,joint_1,joint,adjective,b2
165,jointly,jointly,adverb,b2
166,jolly-into,jolly into,phrasal verb,c2
167,jolly-into-doing,jolly into doing,phrasal verb,c2
168,lobby_2,lobby,verb,c1
169,lobbyist,lobbyist,noun,c1
170,lure_1,lure,verb,c1
171,common_1,make common cause with somebody,idiom,c2
172,make-up_1,make up,phrasal verb,c1
173,peace,make (your) peace with somebody,idiom,c2
174,mediate,mediate,verb,c2
175,mediation,mediation,noun,c2
176,mediator,mediator,noun,c2
177,meet_1,meet somebody halfway,idiom,c2
178,mend_1,mend,verb,c2
179,mend_1,mend (your) fences (with somebody),idiom,c2
180,middle-ground,middle ground,noun,c2
181,moderator,moderator,noun,c2
182,modus-vivendi,modus vivendi,noun,c2
183,nail-down,nail down,phrasal verb,c2
184,negotiable,negotiable,adjective,c2
185,negotiate,negotiate,verb,b2
186,negotiation,negotiation,noun,b2
187,nobble,nobble,verb,c2
188,nullify,nullify,verb,c2
189,ok_1,OK,exclamation,a1
190,oneness,oneness,noun,c2
191,page_1,on the same page,idiom,c2
192,understanding_1,on the understanding that…,idiom,c2
193,pact,pact,noun,c2
194,parley_1,parley,noun,c2
195,parley_2,parley,verb,c2
196,party_1,party,noun,c1
197,patch-up,patch up,phrasal verb,c2
198,peacekeeper,peacekeeper,noun,c1
199,peacemaker,peacemaker,noun,c2
