subLink,word,type,level
0,access_1,access,noun,b1
1,accessibility,accessibility,noun,c1
2,alexia,alexia,noun,c2
3,american-sign-language,American Sign Language,noun,b2
4,aphasia,aphasia,noun,c2
5,asd,ASD,noun,c2
6,asl,ASL,noun,c2
7,asperger-s-syndrome,Asperger’s syndrome,noun,c2
8,assistance-dog,assistance dog,noun,c1
9,assisted-living,assisted living,noun,c2
10,autism,autism,noun,c1
11,autism-spectrum-disorder,autism spectrum disorder,noun,c2
12,autistic,autistic,adjective,c1
13,blind_1,blind,adjective,b2
14,blindness,blindness,noun,b2
15,blue-badge,blue badge,noun,c2
16,brain-damage,brain damage,noun,c2
17,british-sign-language,British Sign Language,noun,b2
18,bsl,BSL,noun,c2
19,cerebral-palsy,cerebral palsy,noun,c2
20,closed-captioned,closed-captioned,adjective,c2
21,deaf,deaf,adjective,b2
22,deafness,deafness,noun,b2
23,disability,disability,noun,b2
24,disabled,disabled,adjective,b2
25,down-syndrome,Down syndrome,noun,c2
26,down-s-syndrome,Down’s syndrome,noun,c2
27,dyslexia,dyslexia,noun,c2
28,dysphasia,dysphasia,noun,c2
29,echolalia,echolalia,noun,c2
30,guide-dog,guide dog,noun,b1
31,hard-of-hearing,hard of hearing,adjective,c1
32,hearing-aid,hearing aid,noun,c1
33,hearing-dog,hearing dog,noun,b2
34,impaired,impaired,adjective,c2
35,impairment,impairment,noun,c2
36,learning-difficulty,learning difficulty,noun,b2
37,learning-disability,learning disability,noun,c1
38,limb-difference,limb difference,noun,c2
39,makatontm,Makaton™,noun,c2
40,mobility,mobility,noun,c1
41,mobility-scooter,mobility scooter,noun,c2
42,spectrum,on the spectrum,idiom,c2
43,paralympian_1,Paralympian,noun,c2
44,paralympian_2,Paralympian,adjective,c2
45,paralyse,paralyse,verb,c2
46,paralysis,paralysis,noun,c2
47,paraplegia,paraplegia,noun,c2
48,paraplegic_2,paraplegic,adjective,c2
49,partially-sighted,partially sighted,adjective,c2
50,quadriplegia,quadriplegia,noun,c2
51,quadriplegic_2,quadriplegic,adjective,c2
52,ramp_1,ramp,noun,c1
53,savant-syndrome,savant syndrome,noun,c2
54,seeing-eye-dogtm,Seeing Eye dog™,noun,c1
55,sen_1,SEN,abbreviation,c2
56,sheltered-housing,sheltered housing,noun,c2
57,sighted,sighted,adjective,c1
58,sign-language,sign language,noun,b2
59,special-needs,special needs,noun,b2
60,spina-bifida,spina bifida,noun,c2
61,the-paralympics,the Paralympics,noun,c1
62,walker,walker,noun,c1
63,walking-frame,walking frame,noun,c1
64,walking-stick,walking stick,noun,c2
65,wheelchair,wheelchair,noun,b1
66,zimmer-frametm,Zimmer frame™,noun,c2
67,able-bodied,able-bodied,adjective,c2
68,breath,a breath of (fresh) air,idiom,c2
69,activity-tracker,activity tracker,noun,c2
70,aerobic,aerobic,adjective,c1
71,aerobics,aerobics,noun,b2
72,alive,alive and kicking,idiom,c2
73,anaerobic,anaerobic,adjective,c2
74,hundred,a/one hundred per cent,idiom,c2
75,athlete,athlete,noun,b1
76,athletic,athletic,adjective,b2
77,beauty-sleep,beauty sleep,noun,c2
78,bloom_1,bloom,noun,c2
79,bloom_2,bloom,verb,c2
80,blossom_2,blossom,verb,c1
81,bouncing,bouncing,adjective,c2
82,bubble_1,bubble,noun,c2
83,bubble-with,bubble with,phrasal verb,c2
84,burn_2,burn,noun,c2
85,burpee,burpee,noun,c2
86,cardio_1,cardio,noun,c2
87,circuit,circuit,noun,c2
88,circuit-breaker,circuit breaker,noun,c2
89,circuit-training,circuit training,noun,c2
90,circulation,circulation,noun,c1
91,clean-living,clean-living,adjective,c2
92,crossfittm,CrossFit™,noun,c2
93,cross-trainer,cross trainer,noun,c2
94,cross-training,cross-training,noun,c2
95,elbow-bump,elbow bump,noun,c2
96,elbump,elbump,noun,c2
97,energy,energy,noun,a2
98,exercise_1,exercise,noun,a1
99,exercise_2,exercise,verb,a1
100,exercise-bike,exercise bike,noun,b1
101,fine_1,fine,adjective,a1
102,fit_2,fit,adjective,a2
103,fitness,fitness,noun,b1
104,fitness-centre,fitness centre,noun,b2
105,fitness-tracker,fitness tracker,noun,c2
106,flourish_1,flourish,verb,c1
107,foam-roller,foam roller,noun,c2
108,form_1,form,noun,c1
109,fresh-faced,fresh-faced,adjective,c2
110,shape_1,get (yourself) into shape,idiom,c2
111,glow_1,glow,verb,c2
112,good_1,good,adjective,a1
113,gym,gym,noun,a1
114,gymnasium,gymnasium,noun,c1
115,health,health,noun,a1
116,health-club,health club,noun,b1
117,health-spa,health spa,noun,c2
118,healthy,healthy,adjective,a1
119,heartbeat,heartbeat,noun,b2
120,heart-rate,heart rate,noun,b1
121,high-intensity-interval-training,high-intensity interval training,noun,c2
122,hiit,HIIT,noun,c2
123,immune,immune,adjective,b2
124,immunity,immunity,noun,c1
125,interval,interval,noun,c2
126,interval-training,interval training,noun,c2
127,jog_1,jog,verb,a2
128,jog_2,jog,noun,a2
129,jogger,jogger,noun,b1
130,jogging,jogging,noun,a2
131,jumping-jack,jumping jack,noun,c2
132,keep-fit,keep-fit,noun,c1
133,kettlebell,kettlebell,noun,c2
134,lock-down,lock down,phrasal verb,c2
135,mountain-climber,mountain climber,noun,c2
136,non-disabled,non-disabled,adjective,b2
137,pant_1,pant,verb,c2
138,pant_2,pant,noun,c2
139,pe,PE,noun,b1
140,personal-trainer,personal trainer,noun,c1
141,physical-distancing,physical distancing,noun,c2
142,physical-education,physical education,noun,b1
143,physically-distanced,physically distanced,adjective,c2
144,plank,plank,noun,c2
145,power-walking,power walking,noun,c2
146,press-up,press-up,noun,c1
147,puffed,puffed,adjective,c2
148,pump_1,pump iron,idiom,c2
149,punchbag,punchbag,noun,c2
150,punching-bag,punching bag,noun,c2
151,push-up,push-up,noun,c1
152,radiance,radiance,noun,c2
153,regimen,regimen,noun,c2
154,rep_1,rep,noun,c2
155,resistance,resistance,noun,c1
156,resistant,resistant,adjective,c1
157,rested,rested,adjective,b2
158,robust,robust,adjective,c1
159,run_1,run,verb,a1
160,self-care,self-care,noun,b2
161,short-winded,short-winded,adjective,c2
162,sit-up_2,sit-up,noun,c2
163,social-bubble,social bubble,noun,c2
164,social-distance,social distance,noun,c2
165,social-distancing,social distancing,noun,c2
166,socially-distanced,socially distanced,adjective,c2
167,spinning,spinning,noun,c2
168,squat-thrust,squat thrust,noun,c2
169,stamina,stamina,noun,c1
170,step_1,step,noun,c1
171,strength,strength,noun,b1
172,strengthen,strengthen,verb,b2
173,strenuous,strenuous,adjective,c2
174,stretch_1,stretch,verb,b2
175,strong,strong,adjective,a1
176,sturdy,sturdy,adjective,c2
177,support-bubble,support bubble,noun,c2
178,sweat_2,sweat,verb,b2
179,tabatatm,Tabata™,noun,c2
180,thrive,thrive,verb,c1
181,thrive-on,thrive on,phrasal verb,c1
182,thriving,thriving,adjective,c1
183,tone_2,tone,verb,c2
184,tonify,tonify,verb,c2
185,train_2,train,verb,a2
186,treadmill,treadmill,noun,c2
187,trim_3,trim,adjective,c2
188,walk_1,walk,verb,a1
189,walker,walker,noun,b1
190,walking_1,walking,noun,a2
191,warm-up_2,warm-up,noun,c2
192,weight_1,weight,noun,a2
193,well_2,well,adjective,a1
194,wellness,wellness,noun,c2
195,work-out,work out,phrasal verb,a2
196,workout,workout,noun,c1
197,zumbatm,Zumba™,noun,c2
198,abnormality,abnormality,noun,c2
199,accident,accident,noun,a2
200,ache_1,ache,verb,a2
201,ache_2,ache,noun,a2
202,achy,achy,adjective,c2
203,acne,acne,noun,c2
204,acute,acute,adjective,c1
205,addict,addict,noun,c1
206,addicted,addicted,adjective,b2
207,addiction,addiction,noun,b2
208,addictive,addictive,adjective,c1
209,affliction,affliction,noun,c2
210,after-effect,after-effect,noun,c2
211,aggravate,aggravate,verb,c2
212,aggressive,aggressive,adjective,c2
213,agony,agony,noun,c1
