subLink,word,type,level
0,abandoned,abandoned,adjective,b2
1,abattoir,abattoir,noun,c2
2,abbey,abbey,noun,b2
3,adjacent,adjacent,adjective,c1
4,adobe,adobe,noun,c2
5,aisle,aisle,noun,b2
6,amphitheatre,amphitheatre,noun,c2
7,ancient,ancient,adjective,a2
8,annexe,annexe,noun,c2
9,apartment-block,apartment block,noun,b1
10,apse,apse,noun,c2
11,aquarium,aquarium,noun,c1
12,arcade,arcade,noun,c2
13,arch_1,arch,noun,c1
14,arched,arched,adjective,c1
15,architectural,architectural,adjective,c1
16,architecture,architecture,noun,a2
17,archway,archway,noun,c2
18,arsenal_1,arsenal,noun,c2
19,art-deco,art deco,noun,c2
20,art-gallery,art gallery,noun,a2
21,art-nouveau,art nouveau,noun,c2
22,asbestos,asbestos,noun,c2
23,aspect,aspect,noun,c2
24,assemble,assemble,verb,c1
25,assembly-room,assembly room,noun,c2
26,atrium,atrium,noun,c2
27,auction-room,auction room,noun,c1
28,auditorium,auditorium,noun,c2
29,avenue,avenue,noun,c1
30,balcony,balcony,noun,b1
31,balustrade,balustrade,noun,c2
32,barn,barn,noun,c1
33,baroque_1,baroque,noun,c2
34,baroque_2,baroque,adjective,c2
35,barracks,barracks,noun,c2
36,basement,basement,noun,b2
37,bas-relief,bas-relief,noun,c2
38,batten_1,batten,noun,c2
39,bauhaus,Bauhaus,noun,c2
40,beam_1,beam,noun,c1
41,belvedere,belvedere,noun,c2
42,bhavan,bhavan,noun,c2
43,bijou,bijou,adjective,c2
44,birthplace,birthplace,noun,c1
45,block_1,block,noun,b1
46,blueprint,blueprint,noun,c2
47,board_1,board,noun,a2
48,booth,booth,noun,c2
49,borough,borough,noun,c2
50,bowling-alley,bowling alley,noun,c1
51,breeze-block,breeze block,noun,c2
52,brick_1,brick,noun,b2
53,bricklaying,bricklaying,noun,c2
54,bridge_1,bridge,noun,a2
55,brownfield,brownfield,adjective,c2
56,brutalism,brutalism,noun,c2
57,build_1,build,verb,a1
58,building,building,noun,a1
59,bulldozer,bulldozer,noun,c2
60,bunker_1,bunker,noun,c2
61,bunkhouse,bunkhouse,noun,c2
62,buttress_1,buttress,noun,c2
63,byzantine,Byzantine,adjective,c2
64,cabana,cabana,noun,c2
65,cabin,cabin,noun,c2
66,campus,campus,noun,b1
67,cantilever,cantilever,noun,c2
68,capital_1,capital,noun,c2
69,carve,carve,verb,c1
70,casement,casement,noun,c2
71,castle,castle,noun,a2
72,cathedral,cathedral,noun,b1
73,cellar,cellar,noun,b2
74,cement_1,cement,noun,c1
75,cenotaph,cenotaph,noun,c2
76,center_1,center,noun,a1
77,centre_1,centre,noun,a1
78,chamber,chamber,noun,c2
79,chapel,chapel,noun,c2
80,chapter-house,chapter house,noun,c2
81,chawl,chawl,noun,c2
82,chimney,chimney,noun,c1
83,chimney-pot,chimney pot,noun,c2
84,choir,choir,noun,c2
85,church,church,noun,a2
86,cinema,cinema,noun,a1
87,civil-engineering,civil engineering,noun,c1
88,classical,classical,adjective,b2
89,clinic,clinic,noun,b2
90,cloister,cloister,noun,c2
91,close2_3,close,noun,c2
92,club_1,club,noun,a2
93,clubhouse,clubhouse,noun,c2
94,collapse_1,collapse,verb,b2
95,colonial_1,colonial,adjective,c2
96,colonnade,colonnade,noun,c2
97,column,column,noun,b2
98,complex_2,complex,noun,b2
99,concrete_1,concrete,adjective,b2
100,concrete_3,concrete,verb,c1
101,condo,condo,noun,c2
102,condominium,condominium,noun,c2
103,conservation,conservation,noun,c1
104,construct_1,construct,verb,b2
105,construction,construction,noun,b2
106,consulate,consulate,noun,c2
107,contemporary_1,contemporary,adjective,b2
108,convent,convent,noun,c2
109,conversion,conversion,noun,c2
110,convert_1,convert,verb,b2
111,cooling-tower,cooling tower,noun,c2
112,corbel,corbel,noun,c2
113,corridor,corridor,noun,b2
114,cosy_1,cosy,adjective,c1
115,cottage,cottage,noun,b1
116,court_1,court,noun,b1
117,courthouse,courthouse,noun,b2
118,courtyard,courtyard,noun,c1
119,cramped,cramped,adjective,c2
120,crane_1,crane,noun,c1
121,crematorium,crematorium,noun,c2
122,crumble_1,crumble,verb,c2
123,crypt,crypt,noun,c2
124,cul-de-sac,cul-de-sac,noun,c2
125,dam_1,dam,noun,c1
126,damp_2,damp,noun,c1
127,decay_2,decay,verb,c1
128,demolish,demolish,verb,c1
129,design_1,design,noun,a1
130,design_2,design,verb,a1
131,des-res,des res,noun,c2
132,development,development,noun,b2
133,digger,digger,noun,b2
134,dilapidated,dilapidated,adjective,c2
135,dilapidation,dilapidation,noun,c2
136,disrepair,disrepair,noun,c2
137,district,district,noun,b2
138,dome,dome,noun,c1
139,doorstep_1,doorstep,noun,b2
140,doorway,doorway,noun,b2
141,doric,Doric,adjective,c2
142,dormitory,dormitory,noun,c1
143,do-up,do up,phrasal verb,c2
