subLink,word,type,level
0,ace_1,ace,noun,c2
1,achievement,achievement,noun,c2
2,adventure-game,adventure game,noun,b2
3,arcade,arcade,noun,c1
4,avatar,avatar,noun,b2
5,baccarat,baccarat,noun,c2
6,backgammon,backgammon,noun,c2
7,bagatelle,bagatelle,noun,c2
8,ball_1,ball,noun,a1
9,ball-game,ball game,noun,a2
10,balloon_1,balloon,noun,b2
11,billiards,billiards,noun,c2
12,bingo_1,bingo,noun,c1
13,bishop,bishop,noun,c2
14,blackjack,blackjack,noun,c2
15,blind-man-s-buff,blind man’s buff,noun,c2
16,board_1,board,noun,a2
17,board-game,board game,noun,a2
18,boule,boule,noun,c2
19,bowl_1,bowl,noun,c2
20,bowling,bowling,noun,b2
21,bowling-green,bowling green,noun,c2
22,bridge_1,bridge,noun,c2
23,building-block,building block,noun,c1
24,camp_2,camp,verb,c2
25,canasta,canasta,noun,c2
26,card_1,card,noun,a2
27,card-game,card game,noun,a2
28,casino,casino,noun,c1
29,castle,castle,noun,c2
30,cat-s-cradle,cat’s cradle,noun,c2
31,charade,charade,noun,c2
32,cheat_1,cheat,verb,b1
33,cheat_2,cheat,noun,b1
34,check_2,check,noun,c2
35,checkers_1,checkers,noun,c2
36,chess,chess,noun,b1
37,chessman,chessman,noun,c2
38,chinese-chequers,Chinese chequers,noun,c2
39,chutes-and-ladderstm,Chutes and Ladders™,noun,c2
40,climbing-frame,climbing frame,noun,c1
41,club_1,club,noun,c2
42,computer-game,computer game,noun,a1
43,conker,conker,noun,c2
44,console2,console,noun,b2
45,counter_1,counter,noun,c2
46,cribbage,cribbage,noun,c2
47,croquet,croquet,noun,c2
48,cross-play,cross-play,noun,c2
49,crossword,crossword,noun,b1
50,cutscene,cutscene,noun,c2
51,dart_1,dart,noun,c1
52,dartboard,dartboard,noun,c2
53,deal_1,deal,verb,a2
54,dealer,dealer,noun,c1
55,diamond,diamond,noun,c2
56,dice_1,dice,noun,c1
57,dodgeball,dodgeball,noun,c2
58,doll_1,doll,noun,b1
59,doll-s-house,doll’s house,noun,b1
60,domino,domino,noun,c2
61,draught_1,draught,noun,c2
62,easter-egg,Easter egg,noun,c2
63,experience-points,experience points,noun,c2
64,fidget-spinner,fidget spinner,noun,c2
65,first-person-shooter,first-person shooter,noun,c2
66,follow-the-leader,follow-the-leader,noun,c2
67,foosball,foosball,noun,c2
68,fps_2,FPS,abbreviation,c2
69,frag,frag,verb,c2
70,frisbeetm,Frisbee™,noun,c2
