subLink,word,type,level
0,accelerate,accelerate,verb,c1
1,acceleration,acceleration,noun,c2
2,account-for,account for,phrasal verb,b2
3,accrual,accrual,noun,c2
4,accrue,accrue,verb,c2
5,accumulate,accumulate,verb,c1
6,accumulation,accumulation,noun,c1
7,accumulative,accumulative,adjective,c2
8,add-up-to,add up to,phrasal verb,c2
9,advance_1,advance,noun,c2
10,advance_2,advance,verb,c2
11,after-effect,after-effect,noun,c2
12,aftermath,aftermath,noun,c1
13,ameliorate,ameliorate,verb,c2
14,amelioration,amelioration,noun,c2
15,appreciate,appreciate,verb,c1
16,appreciation,appreciation,noun,c1
17,arise,arise,verb,b2
18,hand_1,at the hands of somebody,idiom,c1
19,attributable,attributable,adjective,c2
20,augment,augment,verb,c2
21,augmentation,augmentation,noun,c2
22,backwash,backwash,noun,c2
23,because,because,conjunction,a1
24,because-of,because of,preposition,a1
25,guarantee_1,be guaranteed to do something,idiom,c1
26,bottom_1,be/lie at the bottom of something,idiom,c2
27,boost_1,boost,verb,b2
28,boost_2,boost,noun,b2
29,booster,booster,noun,c2
30,bring,bring,verb,a2
31,bring-about,bring about,phrasal verb,c1
32,build-up_2,build-up,noun,c2
33,build-up_1,build up,phrasal verb,b2
34,butterfly-effect,butterfly effect,noun,c2
35,means,by means of something,idiom,c1
36,by-product,by-product,noun,c2
37,causal,causal,adjective,c1
38,causality,causality,noun,c2
39,causally,causally,adverb,c2
40,causation,causation,noun,c2
41,causative,causative,adjective,c1
42,cause_1,cause,noun,a2
43,cause_2,cause,verb,a2
44,change_1,change,verb,a1
45,change_2,change,noun,a1
46,climb_1,climb,verb,b2
47,climb_2,climb,noun,c1
48,collapse_1,collapse,verb,b2
49,collapse_2,collapse,noun,b2
50,effect_1,come into effect,idiom,c2
51,consequence,consequence,noun,b1
52,consequent,consequent,adjective,c1
53,consequential,consequential,adjective,c2
54,consequentially,consequentially,adverb,c2
55,consequently,consequently,adverb,b2
56,contribute,contribute,verb,b2
57,contribution,contribution,noun,b2
58,contributor,contributor,noun,c1
59,contributory,contributory,adjective,c2
60,corollary,corollary,noun,c2
61,cos1,cos,conjunction,c2
62,coz,coz,conjunction,c2
63,creep_2,creep,noun,c2
64,creep-up,creep up,phrasal verb,c2
65,cumulative,cumulative,adjective,c2
66,cumulatively,cumulatively,adverb,c2
67,decline_1,decline,verb,b2
68,decline_2,decline,noun,b2
69,decrease_1,decrease,verb,b2
70,decrease_2,decrease,noun,b2
71,deteriorate,deteriorate,verb,c1
72,deterioration,deterioration,noun,c1
73,develop,develop,verb,b1
74,development,development,noun,b1
75,dip_2,dip,noun,c2
76,domino-effect,domino effect,noun,c2
77,downswing,downswing,noun,c2
78,downturn,downturn,noun,c1
79,downward,downward,adjective,c1
80,downwardly,downwardly,adverb,c2
81,downwards,downwards,adverb,b2
82,drop_1,drop,verb,b1
83,drop-away,drop away,phrasal verb,c2
84,drop-off_1,drop off,phrasal verb,c2
85,due_1,due,adjective,b1
86,edge_2,edge,verb,c2
87,effect_1,effect,noun,a2
88,effect_2,effect,verb,c2
89,effective,effective,adjective,b1
90,effectively,effectively,adverb,b1
91,effectiveness,effectiveness,noun,c1
92,effectual,effectual,adjective,c2
93,effectually,effectually,adverb,c2
94,effectuate,effectuate,verb,c2
95,elevate,elevate,verb,c2
96,elevation,elevation,noun,c2
97,end-result,end result,noun,c1
98,ensue,ensue,verb,c1
99,ensuing,ensuing,adjective,c2
100,eventuate,eventuate,verb,c2
101,expand,expand,verb,b1
102,expansion,expansion,noun,b2
103,factor_1,factor,noun,a2
104,fall_1,fall,verb,a2
105,fall_2,fall,noun,a2
106,fall-back,fall back,phrasal verb,c2
107,falling-off,falling-off,noun,c2
