subLink,word,type,level
0,abduct,abduct,verb,c2
1,abductee,abductee,noun,c2
2,abduction,abduction,noun,c2
3,abductor,abductor,noun,c2
4,abh,ABH,abbreviation,c2
5,abuse_1,abuse,noun,c1
6,abuse_2,abuse,verb,c1
7,accessory_1,accessory,noun,c2
8,accomplice,accomplice,noun,c1
9,actual-bodily-harm,actual bodily harm,noun,c2
10,alibi,alibi,noun,c1
11,alien_1,alien,noun,b2
12,all-points-bulletin,all-points bulletin,noun,c2
13,appeal_1,appeal,noun,b2
14,appeal_2,appeal,verb,b2
15,apprehend,apprehend,verb,c2
16,apprehension,apprehension,noun,c2
17,appropriate_2,appropriate,verb,c2
18,appropriation,appropriation,noun,c2
19,arrest_1,arrest,verb,b1
20,arrest_2,arrest,noun,b1
21,arson,arson,noun,c1
22,arsonist,arsonist,noun,c1
23,asbo,ASBO,noun,c2
24,assail,assail,verb,c2
25,assailant,assailant,noun,c2
26,assassin,assassin,noun,c1
27,assault_1,assault,noun,c1
28,assault_2,assault,verb,c1
29,assault-and-battery,assault and battery,noun,c2
30,stay_2,a stay of execution,idiom,c2
31,attack_1,attack,noun,a2
32,attack_2,attack,verb,a2
33,attacker,attacker,noun,b1
34,attempted,attempted,adjective,b2
35,autopsy,autopsy,noun,c2
36,backup,backup,noun,c1
37,bandit,bandit,noun,c1
38,banish,banish,verb,c2
39,banishment,banishment,noun,c2
40,batter_1,batter,verb,c2
41,battered,battered,adjective,c2
42,battery,battery,noun,c2
43,bigamist,bigamist,noun,c2
44,bigamous,bigamous,adjective,c2
45,bigamy,bigamy,noun,c2
46,blackmail_1,blackmail,noun,c1
47,blackmail_2,blackmail,verb,c1
48,blackmailer,blackmailer,noun,c1
49,blood-feud,blood feud,noun,c2
50,body,body,noun,a1
51,bomb_2,bomb,verb,b1
52,bomber,bomber,noun,b1
53,bombing,bombing,noun,b2
54,boot-camp,boot camp,noun,c2
55,bootleg_3,bootleg,verb,c2
56,bootlegger,bootlegger,noun,c2
57,bootlegging,bootlegging,noun,c2
58,borstal,borstal,noun,c2
59,breach_1,breach,noun,c1
60,breach_2,breach,verb,c1
61,break_1,break,verb,b1
62,break-in_2,break-in,noun,c1
63,break-in_1,break in,phrasal verb,b2
64,breaking-and-entering,breaking and entering,noun,c2
65,break-into,break into,phrasal verb,b2
66,breakout_1,breakout,noun,c2
67,bribe_1,bribe,noun,c1
68,bribe_2,bribe,verb,c1
69,bribery,bribery,noun,c1
70,bring-in,bring in,phrasal verb,c2
71,bug_1,bug,noun,c1
72,bug_2,bug,verb,c1
73,burglar,burglar,noun,b1
74,burglary,burglary,noun,b1
75,burgle,burgle,verb,b1
76,bust_1,bust,verb,c2
77,bust_2,bust,noun,c2
78,capital_2,capital,adjective,c1
79,capital-punishment,capital punishment,noun,c1
80,capture_2,capture,noun,b2
81,carjack,carjack,verb,c2
82,carjacker,carjacker,noun,c2
83,carjacking,carjacking,noun,c2
84,case_1,case,noun,b1
85,case_2,case the joint,idiom,c2
86,cat-burglar,cat burglar,noun,c2
87,catch_1,catch,verb,a2
88,caution_1,caution,noun,c2
89,cell,cell,noun,b2
90,chase_1,chase,verb,b2
91,chase_2,chase,noun,b2
