subLink,word,type,level
0,accommodation,accommodation,noun,c2
1,acquired-characteristic,acquired characteristic,noun,c2
2,allele,allele,noun,c2
3,ameba,ameba,noun,c2
4,amino-acid,amino acid,noun,c2
5,amnion,amnion,noun,c2
6,amoeba,amoeba,noun,c2
7,anaerobic,anaerobic,adjective,c2
8,anatomy,anatomy,noun,c2
9,antibody,antibody,noun,c2
10,antigen,antigen,noun,c2
11,asexual,asexual,adjective,c2
12,axon,axon,noun,c2
13,bacteria,bacteria,noun,b2
14,behaviour,behaviour,noun,a2
15,being,being,noun,b2
16,biochemist,biochemist,noun,b2
17,biochemistry,biochemistry,noun,b2
18,biological,biological,adjective,b2
19,biologist,biologist,noun,b1
20,biology,biology,noun,a2
21,biomolecule,biomolecule,noun,c2
22,biotype,biotype,noun,c2
23,bisexual_1,bisexual,adjective,c2
24,blueprint,blueprint,noun,c2
25,botanist,botanist,noun,c2
26,botany,botany,noun,c2
27,capsid,capsid,noun,c2
28,carb,carb,noun,b2
29,carbohydrate,carbohydrate,noun,b2
30,cell,cell,noun,b2
31,centriole,centriole,noun,c2
32,chemosynthesis,chemosynthesis,noun,c2
33,chemosynthetic,chemosynthetic,adjective,c2
34,chlorophyll,chlorophyll,noun,c2
35,chloroplast,chloroplast,noun,c2
36,cholesterol,cholesterol,noun,c1
37,chromosomal,chromosomal,adjective,c2
38,chromosome,chromosome,noun,c2
39,circulate,circulate,verb,c1
40,clone_1,clone,noun,c1
41,clone_2,clone,verb,c1
42,community,community,noun,c2
43,connective-tissue,connective tissue,noun,c2
44,cortisol,cortisol,noun,c2
45,cosmopolitan_1,cosmopolitan,adjective,c2
46,cycle_1,cycle,noun,b1
47,cytoplasm,cytoplasm,noun,c2
48,dendrite,dendrite,noun,c2
49,dendritic,dendritic,adjective,c2
50,deoxyribonucleic-acid,deoxyribonucleic acid,noun,c2
51,digest_1,digest,verb,c1
52,digestion,digestion,noun,c1
53,digestive,digestive,adjective,c1
54,disruptor,disruptor,noun,c2
55,divide_1,divide,verb,b1
56,division,division,noun,b2
57,dna,DNA,noun,b2
58,dominant,dominant,adjective,c2
59,egg_1,egg,noun,b2
60,embryo,embryo,noun,c1
61,encode,encode,verb,c2
62,engineer_2,engineer,verb,c1
63,enzyme,enzyme,noun,c2
64,eucaryote,eucaryote,noun,c2
65,eucaryotic,eucaryotic,adjective,c2
66,eukaryote,eukaryote,noun,c2
67,eukaryotic,eukaryotic,adjective,c2
68,evolution,evolution,noun,b2
69,evolutionary,evolutionary,adjective,c1
70,evolve,evolve,verb,b2
71,excrement,excrement,noun,c2
72,excrete,excrete,verb,c2
73,faeces,faeces,noun,c2
74,feces,feces,noun,c2
75,female_1,female,adjective,a2
76,female_2,female,noun,a2
77,fertile,fertile,adjective,c1
78,fertilize,fertilize,verb,c1
79,fetus,fetus,noun,c2
80,filament,filament,noun,c2
81,fission,fission,noun,c2
82,foetus,foetus,noun,c2
83,fossil,fossil,noun,b2
84,frankenfood,Frankenfood,noun,c2
85,fungus,fungus,noun,c1
86,gamete,gamete,noun,c2
87,gas-exchange,gas exchange,noun,c2
88,gene_1,gene,noun,b2
89,gene-editing,gene editing,noun,c2
90,gene-pool,gene pool,noun,c2
91,gene-therapy,gene therapy,noun,c2
92,genetic,genetic,adjective,b2
93,genetically,genetically,adverb,b2
94,genetically-modified,genetically modified,adjective,b2
95,genetic-code,genetic code,noun,c1
96,genetic-engineering,genetic engineering,noun,b2
97,genetics,genetics,noun,b2
98,genome,genome,noun,c1
99,genotype,genotype,noun,c2
100,germ,germ,noun,b2
101,gm_2,GM,abbreviation,b2
102,gmo,GMO,noun,c2
103,heterozygote,heterozygote,noun,c2
104,histamine,histamine,noun,c2
105,homologous,homologous,adjective,c2
106,homozygote,homozygote,noun,c2
107,hormone,hormone,noun,c1
108,hybrid_2,hybrid,noun,c1
109,hydrocortisone,hydrocortisone,noun,c2
110,incubate,incubate,verb,c2
111,incubation,incubation,noun,c2
112,inheritable,inheritable,adjective,c2
113,inhibitor,inhibitor,noun,c2
114,instinct,instinct,noun,c1
115,insulin,insulin,noun,c2
116,interferon,interferon,noun,c2
117,in-vitro_1,in vitro,adjective,c2
118,in-vitro_2,in vitro,adverb,c2
119,in-vivo_1,in vivo,adjective,c2
120,in-vivo_2,in vivo,adverb,c2
121,killer-cell,killer cell,noun,c2
122,lactate,lactate,verb,c2
123,life-cycle,life cycle,noun,b2
124,lipid,lipid,noun,c2
125,lymph,lymph,noun,c2
126,lymph-node,lymph node,noun,c2
127,male_1,male,adjective,a2
128,male_2,male,noun,a2
129,maltose,maltose,noun,c2
130,medium_2,medium,noun,c2
131,meiosis,meiosis,noun,c2
132,membrane,membrane,noun,c2
133,metabolism,metabolism,noun,c1
134,microbe,microbe,noun,c2
135,mitochondrial,mitochondrial,adjective,c2
136,mitochondrion,mitochondrion,noun,c2
137,mitosis,mitosis,noun,c2
138,mutant_1,mutant,adjective,c2
139,mutant_2,mutant,noun,c2
140,mutate,mutate,verb,c2
141,mutation,mutation,noun,c1
142,nerve_1,nerve,noun,b2
143,neurology,neurology,noun,c2
144,neuron,neuron,noun,c2
145,neurotransmitter,neurotransmitter,noun,c2
146,nucleotide,nucleotide,noun,c2
147,nucleus,nucleus,noun,c1
148,nutrient,nutrient,noun,b2
149,oestrogen,oestrogen,noun,c2
150,organic,organic,adjective,c1
151,organism,organism,noun,b2
152,oviparous,oviparous,adjective,c2
153,ovoviviparous,ovoviviparous,adjective,c2
154,ovulate,ovulate,verb,c2
155,ovum,ovum,noun,c2
156,parasite,parasite,noun,c1
157,pathology,pathology,noun,c2
158,pepsin,pepsin,noun,c2
159,pharming,pharming,noun,c2
160,phenotype,phenotype,adjective,c2
161,photosynthesis,photosynthesis,noun,c1
162,physiology,physiology,noun,c1
163,pigmentation,pigmentation,noun,c2
164,procaryote,procaryote,noun,c2
165,procaryotic,procaryotic,adjective,c2
166,progesterone,progesterone,noun,c2
167,prokaryote,prokaryote,noun,c2
168,prokaryotic,prokaryotic,adjective,c2
169,propagate,propagate,verb,c2
170,propagation,propagation,noun,c2
171,protein,protein,noun,b2
172,protoplasm,protoplasm,noun,c2
173,receptor,receptor,noun,c2
174,recessive,recessive,adjective,c2
175,regurgitate,regurgitate,verb,c2
176,replicator,replicator,noun,c2
177,reproduce,reproduce,verb,c1
178,reproduction,reproduction,noun,c1
179,reproductive,reproductive,adjective,c1
180,respiration,respiration,noun,c2
181,respiratory,respiratory,adjective,c2
182,rna,RNA,noun,c2
183,secrete,secrete,verb,c2
184,semen,semen,noun,c2
185,sequence_2,sequence,verb,c2
186,sex-chromosome,sex chromosome,noun,c2
187,species,species,noun,b2
188,specimen,specimen,noun,c1
189,sperm,sperm,noun,c2
190,starch_1,starch,noun,c2
191,stem-cell,stem cell,noun,c2
192,stimulus,stimulus,noun,c1
193,subspecies,subspecies,noun,c1
194,symbiosis,symbiosis,noun,c2
195,synthesis,synthesis,noun,c1
196,synthesize,synthesize,verb,c2
197,testosterone,testosterone,noun,c2
198,survival_1,the survival of the fittest,idiom,c2
199,tissue,tissue,noun,c1
200,transgenic_1,transgenic,adjective,c2
201,transgenic_2,transgenic,noun,c2
202,urinate,urinate,verb,c2
203,vector,vector,noun,c2
204,vesicle,vesicle,noun,c2
205,virus,virus,noun,a2
206,viviparous,viviparous,adjective,c2
207,wall_1,wall,noun,c2
208,x-chromosome,X chromosome,noun,c2
209,y-chromosome,Y chromosome,noun,c2
210,zoologist,zoologist,noun,c1
211,zoology,zoology,noun,c1
212,accelerator-board,accelerator board,noun,c2
213,access_2,access,verb,b1
214,add-in_2,add-in,noun,c2
215,ai,AI,abbreviation,c2
216,algol,Algol,noun,c2
217,alt-key,Alt key,noun,c2
218,analogue_1,analogue,adjective,c1
219,animation,animation,noun,b2
220,antivirus,antivirus,adjective,c1
221,app,app,noun,a2
222,applet,applet,noun,c2
223,application,application,noun,c1
224,ar_2,AR,noun,c2
225,architect_1,architect,noun,c2
226,architect_2,architect,verb,c2
227,architecture,architecture,noun,c1
228,archive_1,archive,noun,c2
229,archive_2,archive,verb,c2
230,array_1,array,noun,c2
231,artificial-intelligence,artificial intelligence,noun,b2
232,authenticate,authenticate,verb,c2
233,authoring,authoring,noun,c2
234,autocorrect_1,autocorrect,noun,c2
235,autocorrect_2,autocorrect,verb,c2
236,back-end_1,back end,noun,c2
237,back-end_2,back-end,adjective,c2
238,backslash,backslash,noun,c2
239,backspace_1,backspace,noun,c2
240,backspace_2,backspace,verb,c2
241,back-up,back up,phrasal verb,c1
242,backup,backup,noun,c1
243,basic_2,BASIC,noun,c2
244,batch_1,batch,noun,c2
245,beta-version,beta version,noun,c2
246,binary_2,binary,adjective,c2
247,bios,BIOS,abbreviation,c2
248,bit_1,bit,noun,c2
249,blackberrytm,BlackBerry™,noun,c1
250,bluetoothtm,Bluetooth™,noun,c1
251,blu-ray,Blu-ray,noun,c1
252,boolean-operator,Boolean operator,noun,c2
253,boot_2,boot,verb,c2
254,bootstrap_1,bootstrap,noun,c2
255,bootstrap_2,bootstrap,verb,c2
256,bot,bot,noun,c1
257,botnet,botnet,noun,c2
258,bug_1,bug,noun,b2
259,buggy_2,buggy,adjective,c2
260,bundle_1,bundle,noun,c2
261,bundle_2,bundle,verb,c2
262,burn_1,burn,verb,c2
263,bus_1,bus,noun,c2
264,button_1,button,noun,a2
265,byte,byte,noun,c1
266,cache_1,cache,noun,c2
267,cache_2,cache,verb,c2
268,card_1,card,noun,c2
269,cd-burner,CD burner,noun,c2
270,cd-rom,CD-ROM,noun,b2
271,cd-writer,CD writer,noun,c2
272,central-processing-unit,central processing unit,noun,c2
273,channel_1,channel,noun,c1
274,chatbot,chatbot,noun,c2
275,chip_1,chip,noun,b1
276,click_1,click,verb,b1
277,click_2,click,noun,b1
278,client,client,noun,c2
279,clip-art,clip art,noun,c2
280,clipboard,clipboard,noun,c2
281,clock-speed,clock speed,noun,c2
282,clone_1,clone,noun,c2
283,cobol,COBOL,noun,c2
284,code_1,code,noun,b2
285,code_2,code,verb,b2
286,codec,codec,noun,c2
287,command_1,command,noun,b2
288,command-language,command language,noun,c2
289,compatibility,compatibility,noun,c2
290,compatible,compatible,adjective,c1
291,computer,computer,noun,a1
292,computer-aided,computer-aided,adjective,c1
293,computer-generated,computer-generated,adjective,c1
294,computerize,computerize,verb,c1
295,computer-literate,computer-literate,adjective,c1
296,computing,computing,noun,b1
297,configuration,configuration,noun,c2
298,configure,configure,verb,c2
299,connect,connect,verb,a2
300,console2,console,noun,c2
301,control_1,control,noun,c1
302,corrupt_2,corrupt,verb,c2
303,corruption,corruption,noun,c2
304,courseware,courseware,noun,c2
305,cpu,CPU,abbreviation,c2
306,cracker,cracker,noun,c2
307,crash_1,crash,noun,b2
308,crash_2,crash,verb,b2
309,cursor,cursor,noun,c1
310,cut_1,cut,verb,b2
311,cybercrime,cybercrime,noun,c1
312,cyberspace,cyberspace,noun,c1
313,data,data,noun,a2
314,databank,databank,noun,c1
315,database,database,noun,b2
316,data-centre,data centre,noun,c2
317,data-processing,data processing,noun,c1
318,data-set,data set,noun,c1
319,data-terminal,data terminal,noun,c2
320,data-warehouse,data warehouse,noun,c2
321,data-warehousing,data warehousing,noun,c2
322,debug_1,debug,noun,c2
323,debug_2,debug,verb,c2
324,debugger,debugger,noun,c2
325,deck_1,deck,noun,c2
326,default_1,default,noun,c1
327,delete_1,delete,verb,b2
328,deletion,deletion,noun,c1
329,demo_1,demo,noun,c2
330,demo_3,demo,verb,c2
331,deprecate,deprecate,verb,c2
332,deselect,deselect,verb,c2
333,desktop,desktop,noun,c1
334,desktop-publishing,desktop publishing,noun,c2
335,diagnostic_2,diagnostic,noun,c2
336,dialog-box,dialog box,noun,c2
337,digital_1,digital,adjective,a2
338,directory,directory,noun,c2
339,disassemble,disassemble,verb,c2
340,disassembler,disassembler,noun,c2
341,disinfect,disinfect,verb,c2
342,disk,disk,noun,b2
343,disk-drive,disk drive,noun,c2
344,diskette,diskette,noun,c2
345,display_2,display,noun,c1
346,docking-station,docking station,noun,c2
347,document_1,document,noun,a2
348,dongle,dongle,noun,c2
349,double-click,double-click,verb,b2
350,down_4,down,adjective,c1
351,download_1,download,verb,a2
352,download_2,download,noun,a2
353,drag_1,drag,verb,c2
354,drag-and-drop,drag-and-drop,adjective,c2
355,drive_2,drive,noun,c2
356,drive-bay,drive bay,noun,c2
357,driver,driver,noun,c2
358,drop-down-menu,drop-down menu,noun,c1
359,duplex_1,duplex,adjective,c2
360,dvd,DVD,noun,a1
361,e-book,e-book,noun,b2
362,edit_2,edit,verb,b2
363,edutainment,edutainment,noun,c2
364,encode,encode,verb,c1
365,encrypt,encrypt,verb,c2
366,end-user,end user,noun,c2
367,environment,environment,noun,c2
368,e-reader,e-reader,noun,b2
369,error-correction,error correction,noun,b2
370,error-message,error message,noun,b1
371,escape_2,escape,noun,c2
372,executable,executable,adjective,c2
373,exit_2,exit,verb,c1
374,export_2,export,verb,b2
375,extension,extension,noun,c2
376,file_1,file,noun,b1
377,filename,filename,noun,b2
378,file-sharing,file sharing,noun,c1
