subLink,word,type,level
0,50-yard-line,50-yard line,noun,c1
1,ace_1,ace,noun,c2
2,advantage_1,advantage,noun,c2
3,air-ball,air ball,noun,c2
4,alley,alley,noun,c2
5,alley-oop_1,alley-oop,exclamation,c2
6,alley-oop_2,alley-oop,noun,c2
7,american-football,American football,noun,a2
8,area,area,noun,c1
9,assist_2,assist,noun,c2
10,assistant-referee,assistant referee,noun,b2
11,association-football,Association football,noun,a1
12,at-bat,at-bat,noun,c2
13,bat_1,at bat,idiom,c2
14,home_1,at home,idiom,c1
15,attack_2,attack,verb,b2
16,attacker,attacker,noun,b2
17,away_1,away,adverb,b2
18,away_2,away,adjective,b2
19,home_1,away from home,idiom,b2
20,backboard,backboard,noun,c2
21,backcourt,backcourt,noun,c2
22,backfield,backfield,noun,c2
23,backhand,backhand,noun,c2
24,backline,backline,noun,c2
25,backstop,backstop,noun,c2
26,back-to-back_2,back-to-back,noun,c2
27,badminton_1,badminton,noun,c1
28,bail_1,bail,noun,c2
29,ball_1,ball,noun,a1
30,ballboy,ballboy,noun,c2
31,ball-game,ball game,noun,b2
32,ballgirl,ballgirl,noun,c2
33,ballhawk,ballhawk,noun,c2
34,ball-hockey,ball hockey,noun,c2
35,ballpark,ballpark,noun,b2
36,ballplayer,ballplayer,noun,c2
37,base_1,base,noun,c1
38,baseball,baseball,noun,a2
39,baseline,baseline,noun,c2
40,baseman,baseman,noun,c2
41,basket,basket,noun,b2
42,basketball,basketball,noun,a2
43,bat_1,bat,noun,b2
44,batboy,batboy,noun,c2
45,batgirl,batgirl,noun,c2
46,batsman,batsman,noun,c2
47,batswoman,batswoman,noun,c2
48,batter_2,batter,noun,c1
49,batting-average,batting average,noun,c2
50,bench,bench,noun,c1
51,big-league_1,big league,noun,c2
52,birdie,birdie,noun,c2
53,bogey,bogey,noun,c2
54,bomb_1,bomb,noun,c2
55,book_2,book,verb,c1
56,booking,booking,noun,c1
57,bouncer,bouncer,noun,c1
58,boundary,boundary,noun,c2
59,bowl_1,bowl,noun,c2
60,bowler,bowler,noun,c1
61,bowling,bowling,noun,c1
62,bowling-ball,bowling ball,noun,b2
63,box_1,box,noun,c2
64,box-score,box score,noun,c2
65,break_2,break,noun,c2
66,break-point,break point,noun,c2
67,brushback,brushback,noun,c2
68,bullpen,bullpen,noun,c2
69,bunker_1,bunker,noun,c2
70,bunt_1,bunt,verb,c2
71,caddie_1,caddie,noun,c2
72,cap_2,cap,verb,c2
73,captain_1,captain,noun,b1
74,cart_1,cart,noun,c1
75,catch_1,catch,verb,a2
76,catcher,catcher,noun,b2
77,centre-back,centre back,noun,c2
78,centre-field,centre field,noun,c2
79,centre-forward,centre forward,noun,c2
80,centre-half,centre half,noun,c2
81,century,century,noun,c2
82,chip_1,chip,noun,c2
83,chip_2,chip,verb,c2
84,chip-shot,chip shot,noun,c2
85,clay-court,clay court,noun,c1
86,clear_2,clear,verb,c2
87,clearance,clearance,noun,c2
88,club_1,club,noun,a1
89,clutch_3,clutch,adjective,c2
90,coliseum,coliseum,noun,c2
91,commentary-box,commentary box,noun,c1
92,competing,competing,adjective,b1
93,conversion,conversion,noun,c2
94,convert_1,convert,verb,c2
95,corner_1,corner,noun,b2
96,cornerback,cornerback,noun,c2
97,corner-kick,corner kick,noun,b2
98,course_1,course,noun,b1
99,court_1,court,noun,b1
100,court-tennis,court tennis,noun,c2
101,crease_1,crease,noun,c2
102,cricket,cricket,noun,a2
103,cricketer,cricketer,noun,b1
104,cricketing,cricketing,adjective,b2
105,cross_1,cross,verb,c2
106,cross_2,cross,noun,c2
107,cup_1,cup,noun,a2
108,curve_1,curve,noun,c2
109,daisy-cutter,daisy-cutter,noun,c2
110,debutant,debutant,noun,c2
111,debutante,debutante,noun,c2
112,declare,declare,verb,c2
113,defence,defence,noun,b2
114,defend,defend,verb,c1
115,defender,defender,noun,b2
116,defense,defense,noun,b2
117,defensive-line,defensive line,noun,c2
118,delivery,delivery,noun,c2
119,deuce,deuce,noun,c2
120,diamond,diamond,noun,c2
121,dismiss,dismiss,verb,c2
122,dismissal,dismissal,noun,c2
123,dive_1,dive,verb,c1
124,division,division,noun,c2
125,divot,divot,noun,c2
126,dog-leg,dog-leg,noun,c2
127,double_6,double,noun,c1
128,double-fault_1,double fault,noun,c2
129,double-fault_2,double-fault,verb,c2
130,double-play,double play,noun,c2
131,down_5,down,noun,c2
132,downswing,downswing,noun,c2
133,draw_1,draw,verb,c1
134,draw_2,draw,noun,c1
135,dribble_1,dribble,verb,c2
136,dribble_2,dribble,noun,c2
137,drive_2,drive,noun,c2
138,driver,driver,noun,c2
139,driving-range,driving range,noun,c2
140,drop-goal,drop goal,noun,c2
141,drop-kick_1,drop kick,noun,c2
142,drop-kick_2,drop-kick,verb,c2
143,duck_1,duck,noun,c2
144,dugout,dugout,noun,c2
145,dunk,dunk,verb,c2
146,eagle_1,eagle,noun,c2
147,end_1,end,noun,a2
148,end-run,end run,noun,c2
149,end-zone,end zone,noun,c2
150,equalize,equalize,verb,c2
151,fairway,fairway,noun,c2
152,fan_1,fan,noun,a2
153,fantasy,fantasy,noun,c2
154,fantasy-football,fantasy football,noun,c2
155,farm-team,farm team,noun,c2
156,fastball,fastball,noun,b2
157,fast-bowler,fast bowler,noun,c1
158,fault_1,fault,noun,c2
159,field_1,field,noun,a2
160,field_2,field,verb,c2
161,fielder,fielder,noun,c2
162,field-goal,field goal,noun,c2
163,fielding,fielding,noun,c2
164,final-four,Final Four,noun,c2
165,fireballer,fireballer,noun,c2
166,first-base,first base,noun,c1
167,first-down,first down,noun,c2
168,first-string_2,first-string,adjective,c2
169,five-a-side,five-a-side,noun,c1
170,fives,fives,noun,c2
171,flag-football,flag football,noun,c2
172,flank_1,flank,noun,c2
173,flanker,flanker,noun,c2
174,fly-ball,fly ball,noun,c2
175,fly-half,fly half,noun,c2
176,follow-on_2,follow-on,noun,c2
177,follow-on_1,follow on,phrasal verb,c2
178,follow-through_2,follow-through,noun,c2
179,football,football,noun,a1
180,football-boot,football boot,noun,a2
181,footballer,footballer,noun,b1
182,footballing,footballing,adjective,b1
183,foot-fault,foot fault,noun,c2
184,footie,footie,noun,c2
