subLink,word,type,level
0,abbey,abbey,noun,b2
1,abdicate,abdicate,verb,c2
2,abolition,abolition,noun,c1
3,aboriginal_1,aboriginal,adjective,c2
4,accede,accede,verb,c2
5,accession,accession,noun,c2
6,action_1,action,noun,b2
7,ad_2,AD,abbreviation,c1
8,age_1,age,noun,b2
9,agrarian-revolution,agrarian revolution,noun,c2
10,ahistorical,ahistorical,adjective,c2
11,amphitheatre,amphitheatre,noun,c2
12,anachronism,anachronism,noun,c2
13,anachronistic,anachronistic,adjective,c2
14,ancestor,ancestor,noun,b2
15,ancestry,ancestry,noun,c1
16,ancient,ancient,adjective,a2
17,anciently,anciently,adverb,c2
18,anglo-saxon_1,Anglo-Saxon,noun,c1
19,anglo-saxon_2,Anglo-Saxon,adjective,c1
20,annex,annex,verb,c2
21,antiquity,antiquity,noun,c2
22,archaeological,archaeological,adjective,b2
23,archaeologist,archaeologist,noun,b2
24,archaeology,archaeology,noun,b2
25,archaic,archaic,adjective,c2
26,archeologist,archeologist,noun,b2
27,archer,archer,noun,c2
28,archive_1,archive,noun,c1
29,archive_2,archive,verb,c2
30,aristocracy,aristocracy,noun,c1
31,aristocrat,aristocrat,noun,c1
32,armour,armour,noun,c1
33,arrow,arrow,noun,b2
34,art-history,art history,noun,b1
35,barbarian,barbarian,noun,c2
36,baron,baron,noun,c1
37,baroque_2,baroque,adjective,c2
38,bath_1,bath,noun,c1
39,battle_1,battle,noun,b1
40,battlefield,battlefield,noun,c1
41,battlements,battlements,noun,c2
42,bc,BC,abbreviation,c1
43,bce,BCE,abbreviation,c1
44,behead,behead,verb,c2
45,belle-epoque,belle époque,noun,c2
46,bibliographer,bibliographer,noun,c2
47,bibliographical,bibliographical,adjective,c2
48,bibliography,bibliography,noun,c1
49,bow2_1,bow,noun,c1
50,bygone,bygone,adjective,c2
51,c_1,c,abbreviation,c2
52,cambrian,Cambrian,adjective,c2
53,cannon_1,cannon,noun,c1
54,carbon-dating,carbon dating,noun,c1
55,carboniferous,carboniferous,adjective,c2
56,carriage,carriage,noun,c1
57,castle,castle,noun,a2
58,cavalry,cavalry,noun,c2
59,ce,CE,abbreviation,c1
60,cede,cede,verb,c2
61,celtic_1,Celtic,adjective,c2
62,century,century,noun,a1
63,chaperone_1,chaperone,noun,c2
64,chapter,chapter,noun,c1
65,chariot,chariot,noun,c1
66,chronicle_1,chronicle,noun,c2
67,chronological,chronological,adjective,c1
68,chronology,chronology,noun,c1
69,circa,circa,preposition,c2
70,civilization,civilization,noun,b2
71,civil-war,civil war,noun,c1
72,classical,classical,adjective,b2
73,coach_1,coach,noun,c2
74,cobbles,cobbles,noun,c2
75,colony,colony,noun,b2
76,commonwealth,commonwealth,noun,c2
77,conquer,conquer,verb,c1
78,conqueror,conqueror,noun,c1
79,conquest,conquest,noun,c2
