subLink,word,type,level
0,abroad,abroad,adverb,a2
1,accommodation,accommodation,noun,b1
2,adventure,adventure,noun,a2
3,agritourism,agritourism,noun,c2
4,all-inclusive,all-inclusive,adjective,c1
5,american-plan,American plan,noun,c2
6,amusement-park,amusement park,noun,b2
7,aparthotel,aparthotel,noun,c2
8,apartment,apartment,noun,a1
9,apartment-hotel,apartment hotel,noun,c2
10,backpack_1,backpack,noun,b1
11,backpack_2,backpack,verb,b2
12,b-and-b,B and B,abbreviation,c2
13,bank-holiday,bank holiday,noun,c1
14,beach_1,beach,noun,a1
15,bed-and-breakfast,bed and breakfast,noun,b2
16,bellboy,bellboy,noun,c2
17,bellhop,bellhop,noun,c2
18,board_1,board,noun,c2
19,book_2,book,verb,a2
20,booking,booking,noun,b2
21,booze-cruise,booze cruise,noun,c2
22,break_2,break,noun,b1
23,brochure,brochure,noun,b1
24,bucket-shop,bucket shop,noun,c2
25,budget_3,budget,adjective,b2
26,bureau,bureau,noun,c2
27,bushwhack,bushwhack,verb,c2
28,camp_2,camp,verb,a2
29,camper,camper,noun,c2
30,campfire,campfire,noun,b1
31,camping,camping,noun,a2
32,campsite,campsite,noun,b1
33,canal,canal,noun,b2
34,cancellation,cancellation,noun,c1
35,caravan,caravan,noun,b2
36,caravanning,caravanning,noun,c2
37,card-key,card key,noun,a2
38,chalet,chalet,noun,c1
39,check-in_2,check-in,noun,b1
40,check-in_1,check in,phrasal verb,a2
41,checkout,checkout,noun,b2
42,clerk_1,clerk,noun,b2
43,commissionaire,commissionaire,noun,c2
44,concierge,concierge,noun,c2
45,cot,cot,noun,c2
46,cottage,cottage,noun,b1
47,courier_1,courier,noun,c2
48,cruise_1,cruise,noun,b2
49,currency,currency,noun,b1
50,customs,customs,noun,c2
51,day-out,day out,noun,b1
52,daypack,daypack,noun,c1
53,day-trip,day trip,noun,b1
54,day-tripper,day tripper,noun,c2
55,deckchair,deckchair,noun,c2
56,desk,desk,noun,a1
57,desk-clerk,desk clerk,noun,b2
58,destination_1,destination,noun,b1
59,destination-wedding,destination wedding,noun,c2
60,doorman,doorman,noun,c1
61,doorwoman,doorwoman,noun,c1
62,double_6,double,noun,b1
63,double-room,double room,noun,a2
64,duty-free_1,duty-free,adjective,c1
65,duty-free_3,duty-free,adverb,c1
66,ecotourism,ecotourism,noun,c2
67,en-suite_1,en suite,adjective,c1
68,en-suite_2,en-suite,noun,c1
69,exchange_1,exchange,noun,b1
70,excursion,excursion,noun,b2
71,explore,explore,verb,b1
72,family-room,family room,noun,b1
73,fleabag,fleabag,noun,c2
74,floor_1,floor,noun,a2
75,fly-drive_1,fly-drive,noun,c2
76,forecourt,forecourt,noun,c2
77,foreign,foreign,adjective,a2
78,foyer,foyer,noun,c2
79,front-desk,front desk,noun,b1
80,full-board,full board,noun,c2
81,get-away,get away,phrasal verb,b2
82,getaway,getaway,noun,c2
83,glamping,glamping,noun,c2
84,guest_1,guest,noun,a2
85,guest-house,guest house,noun,c1
86,guide_1,guide,noun,a2
87,guy_1,guy,noun,c2
88,half-board,half board,noun,c2
89,high-season,high season,noun,c1
90,hiking,hiking,noun,a2
91,hillwalking,hillwalking,noun,b2
92,holiday_1,holiday,noun,a1
93,holiday-camp,holiday camp,noun,b1
94,holidaymaker,holidaymaker,noun,b2
95,homestay,homestay,noun,c1
96,honeymoon_1,honeymoon,noun,b2
97,hostel,hostel,noun,b1
98,hostelry,hostelry,noun,c2
99,hotel,hotel,noun,a1
100,hotelier,hotelier,noun,c2
101,hotspot,hotspot,noun,c2
102,housekeeper,housekeeper,noun,c2
103,housekeeping,housekeeping,noun,c2
104,inn,inn,noun,c1
105,island-hopping,island-hopping,noun,c2
106,itinerary,itinerary,noun,c1
107,jaunt,jaunt,noun,c2
108,journey_1,journey,noun,a1
109,key-card,key card,noun,a2
110,lobby_1,lobby,noun,c1
111,lounge_1,lounge,noun,b2
112,lounge-bar,lounge bar,noun,c2
113,lounger,lounger,noun,c2
114,low-season,low season,noun,c1
115,luggage,luggage,noun,a2
116,luxurious,luxurious,adjective,c1
117,maid,maid,noun,c1
118,manageress,manageress,noun,c1
119,minibar,minibar,noun,b2
120,mosquito-net,mosquito net,noun,c1
121,motel,motel,noun,c1
122,motorhome,motorhome,noun,c2
123,motor-lodge,motor lodge,noun,c2
124,non-resident_1,non-resident,noun,c1
125,non-resident_2,non-resident,adjective,c1
126,nordic-walking,Nordic walking,noun,c2
127,operator,operator,noun,b2
128,outing,outing,noun,c1
129,overbook,overbook,verb,c2
130,pack_1,pack,verb,a2
131,package-tour,package tour,noun,b2
132,parasol,parasol,noun,c2
133,passport,passport,noun,a1
134,peg_1,peg,noun,c1
135,pension2,pension,noun,c2
136,pitch_2,pitch,verb,c2
137,pool_1,pool,noun,a1
138,porter,porter,noun,c1
139,postcard,postcard,noun,a2
140,primustm,Primus™,noun,c2
141,rack-rate,rack rate,noun,c2
142,reception,reception,noun,a2
143,receptionist,receptionist,noun,a2
144,reservation,reservation,noun,b1
145,resident_1,resident,noun,b2
146,resort_1,resort,noun,b2
147,rest-house,rest house,noun,c2
148,road-trip,road trip,noun,b1
149,room_1,room,noun,a1
150,room-service,room service,noun,b2
151,rough_3,rough it,idiom,c2
152,rucksack,rucksack,noun,b2
153,safari,safari,noun,b1
154,sand_1,sand,noun,b1
155,sandcastle,sandcastle,noun,c1
156,sandy_1,sandy,adjective,b2
157,sea,sea,noun,a1
158,seafront,seafront,noun,c2
159,seaside_1,seaside,noun,b1
160,seaside_2,seaside,adjective,b1
161,self-catering_1,self-catering,adjective,c1
162,self-catering_2,self-catering,noun,c1
163,self-drive,self-drive,adjective,c1
164,sight_1,sight,noun,b1
165,sightsee,sightsee,verb,c1
166,sightseeing,sightseeing,noun,a2
167,sightseer,sightseer,noun,c1
168,single_2,single,noun,a2
169,sitting,sitting,noun,c2
170,sleeping-bag,sleeping bag,noun,b1
171,snap_2,snap,noun,c2
172,souvenir,souvenir,noun,a2
173,star_1,star,noun,a2
174,stay_1,stay,verb,a1
175,stay_2,stay,noun,a2
176,staycation,staycation,noun,c1
177,suitcase,suitcase,noun,a2
178,suite,suite,noun,c1
179,sunbathe,sunbathe,verb,b1
180,sunblock,sunblock,noun,c1
181,sunburn,sunburn,noun,c1
182,sun-cream,sun cream,noun,c1
183,sunlounger,sunlounger,noun,c2
184,sunscreen,sunscreen,noun,b2
185,suntan_2,suntan,noun,c1
186,tan_1,tan,verb,c1
187,tan_2,tan,noun,c1
188,tariff,tariff,noun,c1
189,tent,tent,noun,b1
190,tent-peg,tent peg,noun,c1
191,theme-park,theme park,noun,b1
192,timeshare,timeshare,noun,c2
193,tour_1,tour,noun,a2
194,tour_2,tour,verb,b1
195,tourism,tourism,noun,a2
196,tourist,tourist,noun,a1
197,tourist-class,tourist class,noun,c1
198,tourist-trap,tourist trap,noun,c2
199,touristy,touristy,adjective,c1
200,travel-agency,travel agency,noun,b2
201,travel-agent,travel agent,noun,b2
202,traveller,traveller,noun,a2
203,traveller-s-cheque,traveller’s cheque,noun,c1
204,trek_2,trek,verb,b2
205,trip_1,trip,noun,a1
206,twin_1,twin,noun,a2
207,twin-bedroom,twin bedroom,noun,c1
208,unpack,unpack,verb,b1
209,upgrade_1,upgrade,verb,c1
210,upmarket_1,upmarket,adverb,c1
211,upmarket_2,upmarket,adjective,c1
212,vacancy,vacancy,noun,c1
213,vacation_1,vacation,noun,a1
214,vacationer,vacationer,noun,c2
215,valet_1,valet,noun,c2
216,villa,villa,noun,b2
217,visa,visa,noun,b2
218,visitor,visitor,noun,a1
219,visitors-book,visitors’ book,noun,b2
220,voyage_1,voyage,noun,b2
221,wake-up-call,wake-up call,noun,b2
222,walking_1,walking,noun,a2
223,youth-hostel,youth hostel,noun,b1
224,aboard,aboard,adverb,c1
225,aerial_2,aerial,adjective,c1
