subLink,word,type,level
0,line_1,above the line,idiom,c2
1,accept,accept,verb,a2
2,access-provider,access provider,noun,c2
3,accountant,accountant,noun,b2
4,acquisition,acquisition,noun,c1
5,ad_1,ad,noun,b1
6,administration,administration,noun,b2
7,administrative,administrative,adjective,c1
8,administrator,administrator,noun,c1
9,advert,advert,noun,a2
10,advertise,advertise,verb,a2
11,advertisement,advertisement,noun,a2
12,advertorial,advertorial,noun,c2
13,afloat,afloat,adjective,c2
14,agency,agency,noun,b2
15,agent,agent,noun,b1
16,agile,agile,adjective,c2
17,agreement,agreement,noun,b1
18,analyst,analyst,noun,b2
19,angel,angel,noun,c2
20,business,any other business,idiom,c2
21,approach_2,approach,verb,b2
22,assemble,assemble,verb,c1
23,assembly,assembly,noun,c1
24,assembly-line,assembly line,noun,c1
25,associate_3,associate,noun,c1
26,attorney,attorney,noun,c1
27,audit_1,audit,noun,c1
28,audit_2,audit,verb,c1
29,auditor,auditor,noun,c2
30,audit-trail,audit trail,noun,c2
31,back_4,back,verb,b2
32,backer,backer,noun,c1
33,backing,backing,noun,c1
34,back-order_1,back order,noun,c2
35,back-order_2,back-order,verb,c2
36,balance-sheet,balance sheet,noun,c2
37,bandwidth,bandwidth,noun,c2
38,banker,banker,noun,b2
39,banner-ad,banner ad,noun,c2
40,bargaining-power,bargaining power,noun,c1
41,even_2,be even,idiom,c2
42,black_2,be in the black,idiom,c2
43,red_2,be in the red,idiom,c2
44,line_1,below the line,idiom,c2
45,bid1_1,bid,noun,b2
46,bid1_2,bid,verb,b2
47,bill_1,bill,noun,c2
48,billable,billable,adjective,c2
49,billboard_1,billboard,noun,b2
50,blitz_1,blitz,noun,c2
51,blue-chip,blue-chip,adjective,c2
52,blue-collar,blue-collar,adjective,c2
53,board_1,board,noun,b2
54,boardroom,boardroom,noun,c1
55,book_1,book,noun,c1
56,bookkeeper,bookkeeper,noun,c2
57,bootstrap_1,bootstrap,noun,c2
58,bootstrap_2,bootstrap,verb,c2
59,boss_1,boss,noun,a2
60,bottleneck,bottleneck,noun,c2
61,bottom-line,bottom line,noun,c2
62,brand_1,brand,noun,b1
63,brand-ambassador,brand ambassador,noun,c2
64,branding,branding,noun,b2
65,brewery,brewery,noun,c1
66,table_1,bring something to the party/table,idiom,c2
67,broker_1,broker,noun,c2
68,broker_2,broker,verb,c2
69,buoyancy,buoyancy,noun,c2
70,buoyant,buoyant,adjective,c2
71,burn-rate,burn rate,noun,c2
72,business,business,noun,a1
73,businessman,businessman,noun,a2
74,business-person,business person,noun,a2
75,business-plan,business plan,noun,b1
76,business-to-business,business-to-business,adjective,c2
77,businesswoman,businesswoman,noun,a2
78,bust_3,bust,adjective,c2
79,buyout,buyout,noun,c2
80,call-centre,call centre,noun,b2
81,campaign_1,campaign,noun,b1
82,capacity,capacity,noun,c1
83,capital_1,capital,noun,b2
84,capitalize,capitalize,verb,c2
85,captain-of-industry,captain of industry,noun,c2
86,cartel,cartel,noun,c2
87,cash-cow,cash cow,noun,c2
88,cash-flow,cash flow,noun,c2
89,ceo,CEO,noun,b2
90,cfo,CFO,noun,c1
91,chairman,chairman,noun,b2
92,chief-executive-officer,chief executive officer,noun,b2
93,chieftain,chieftain,noun,c2
94,classified,classified,noun,c2
95,classified-advertisement,classified advertisement,noun,c2
96,clerk_1,clerk,noun,b2
97,client,client,noun,b1
98,clientele,clientele,noun,c2
99,close1_1,close,verb,c1
100,close1_1,close its doors,idiom,c2
101,co_2,Co.,abbreviation,c2
102,co-branding,co-branding,noun,c2
103,code-of-practice,code of practice,noun,c2
104,cold-calling,cold-calling,noun,c2
105,collective_2,collective,noun,c2
106,commerce,commerce,noun,c1
107,commercial_1,commercial,adjective,b1
108,commoditization,commoditization,noun,c2
109,commoditize,commoditize,verb,c2
110,commodity,commodity,noun,c1
111,compete,compete,verb,b1
112,competing,competing,adjective,b2
113,competition,competition,noun,b1
114,competitive,competitive,adjective,b1
115,competitor,competitor,noun,b1
116,comptroller,comptroller,noun,c2
117,concern_2,concern,noun,c2
118,conglomerate,conglomerate,noun,c2
119,consultant,consultant,noun,b2
120,consumer,consumer,noun,b1
121,consumerism,consumerism,noun,c1
122,consumerist,consumerist,adjective,c1
123,contract_1,contract,noun,b2
124,controller,controller,noun,c2
125,co-op,co-op,noun,c2
126,cooperative_1,cooperative,adjective,c1
127,cooperative_2,cooperative,noun,c1
128,copy_1,copy,noun,c2
129,corporate,corporate,adjective,b2
130,corporate-responsibility,corporate responsibility,noun,c2
131,corporation,corporation,noun,b2
132,cost_2,cost,verb,a1
133,cost-centre,cost centre,noun,c2
134,craft-brewery,craft brewery,noun,c2
135,credit-crunch,credit crunch,noun,c2
136,cross-functional,cross-functional,adjective,c2
137,customer,customer,noun,a1
138,customer-engagement,customer engagement,noun,c1
139,customer-service,customer service,noun,b1
140,cut-throat,cut-throat,adjective,c2
141,deal_2,deal,noun,b1
142,dealer,dealer,noun,b2
143,dealing,dealing,noun,c1
144,dealmaker,dealmaker,noun,c1
145,deficit,deficit,noun,c1
146,department,department,noun,a2
147,deputy,deputy,noun,c1
